Category: All categories

Week,emergency medical technicians: (United States)
2023-02-26,63
2023-03-05,71
2023-03-12,69
2023-03-19,0
2023-03-26,43
2023-04-02,55
2023-04-09,0
2023-04-16,62
2023-04-23,47
2023-04-30,49
2023-05-07,44
2023-05-14,0
2023-05-21,40
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,66
2023-07-16,0
2023-07-23,53
2023-07-30,0
2023-08-06,53
2023-08-13,0
2023-08-20,57
2023-08-27,47
2023-09-03,55
2023-09-10,0
2023-09-17,0
2023-09-24,64
2023-10-01,0
2023-10-08,49
2023-10-15,86
2023-10-22,40
2023-10-29,49
2023-11-05,0
2023-11-12,40
2023-11-19,50
2023-11-26,42
2023-12-03,72
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,44
2024-01-07,49
2024-01-14,57
2024-01-21,72
2024-01-28,73
2024-02-04,52
2024-02-11,0
2024-02-18,0
2024-02-25,85
2024-03-03,65
2024-03-10,100
2024-03-17,82
2024-03-24,73
2024-03-31,62
2024-04-07,42
2024-04-14,55
2024-04-21,56
2024-04-28,43
2024-05-05,57
2024-05-12,0
2024-05-19,46
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,89
2024-06-30,0
2024-07-07,49
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,51
2024-08-25,68
2024-09-01,54
2024-09-08,59
2024-09-15,59
2024-09-22,59
2024-09-29,55
2024-10-06,55
2024-10-13,91
2024-10-20,57
2024-10-27,60
2024-11-03,49
2024-11-10,0
2024-11-17,33
2024-11-24,31
