Category: All categories

Week,Emergency NYC: (United States)
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,67
2023-04-02,100
2023-04-09,43
2023-04-16,25
2023-04-23,16
2023-04-30,12
2023-05-07,9
2023-05-14,8
2023-05-21,6
2023-05-28,7
2023-06-04,6
2023-06-11,5
2023-06-18,5
2023-06-25,5
2023-07-02,6
2023-07-09,5
2023-07-16,5
2023-07-23,5
2023-07-30,4
2023-08-06,3
2023-08-13,4
2023-08-20,4
2023-08-27,0
2023-09-03,3
2023-09-10,2
2023-09-17,3
2023-09-24,8
2023-10-01,4
2023-10-08,2
2023-10-15,2
2023-10-22,4
2023-10-29,2
2023-11-05,2
2023-11-12,4
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,2
2023-12-17,2
2023-12-24,4
2023-12-31,3
2024-01-07,4
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,4
2024-02-11,3
2024-02-18,0
2024-02-25,3
2024-03-03,0
2024-03-10,2
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,2
2024-04-28,0
2024-05-05,0
2024-05-12,2
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,3
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,2
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,1
2024-11-24,1
