Category: All categories

Week,hepatic coma: (United States)
2023-02-26,58
2023-03-05,58
2023-03-12,0
2023-03-19,60
2023-03-26,99
2023-04-02,75
2023-04-09,59
2023-04-16,81
2023-04-23,55
2023-04-30,68
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,73
2023-06-04,54
2023-06-11,66
2023-06-18,0
2023-06-25,0
2023-07-02,49
2023-07-09,0
2023-07-16,59
2023-07-23,71
2023-07-30,0
2023-08-06,65
2023-08-13,48
2023-08-20,0
2023-08-27,0
2023-09-03,48
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,49
2023-10-15,47
2023-10-22,0
2023-10-29,70
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,70
2023-12-10,63
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,55
2024-01-14,0
2024-01-21,62
2024-01-28,0
2024-02-04,0
2024-02-11,50
2024-02-18,0
2024-02-25,67
2024-03-03,51
2024-03-10,65
2024-03-17,65
2024-03-24,51
2024-03-31,0
2024-04-07,59
2024-04-14,58
2024-04-21,62
2024-04-28,61
2024-05-05,0
2024-05-12,52
2024-05-19,0
2024-05-26,0
2024-06-02,62
2024-06-09,52
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,58
2024-07-21,0
2024-07-28,0
2024-08-04,50
2024-08-11,60
2024-08-18,0
2024-08-25,0
2024-09-01,100
2024-09-08,65
2024-09-15,55
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,76
2024-10-20,94
2024-10-27,76
2024-11-03,0
2024-11-10,76
2024-11-17,43
2024-11-24,54
