Category: All categories

Week,autoimmune: (United States)
2023-02-26,85
2023-03-05,87
2023-03-12,82
2023-03-19,85
2023-03-26,94
2023-04-02,82
2023-04-09,84
2023-04-16,87
2023-04-23,87
2023-04-30,81
2023-05-07,81
2023-05-14,79
2023-05-21,78
2023-05-28,72
2023-06-04,79
2023-06-11,77
2023-06-18,84
2023-06-25,78
2023-07-02,71
2023-07-09,73
2023-07-16,77
2023-07-23,74
2023-07-30,74
2023-08-06,74
2023-08-13,70
2023-08-20,70
2023-08-27,69
2023-09-03,74
2023-09-10,90
2023-09-17,89
2023-09-24,82
2023-10-01,78
2023-10-08,76
2023-10-15,83
2023-10-22,79
2023-10-29,78
2023-11-05,83
2023-11-12,85
2023-11-19,66
2023-11-26,76
2023-12-03,79
2023-12-10,81
2023-12-17,67
2023-12-24,63
2023-12-31,69
2024-01-07,77
2024-01-14,72
2024-01-21,90
2024-01-28,98
2024-02-04,91
2024-02-11,88
2024-02-18,92
2024-02-25,93
2024-03-03,86
2024-03-10,87
2024-03-17,92
2024-03-24,90
2024-03-31,86
2024-04-07,87
2024-04-14,90
2024-04-21,90
2024-04-28,82
2024-05-05,87
2024-05-12,79
2024-05-19,86
2024-05-26,77
2024-06-02,81
2024-06-09,79
2024-06-16,77
2024-06-23,74
2024-06-30,68
2024-07-07,80
2024-07-14,75
2024-07-21,78
2024-07-28,75
2024-08-04,78
2024-08-11,77
2024-08-18,75
2024-08-25,81
2024-09-01,73
2024-09-08,82
2024-09-15,88
2024-09-22,80
2024-09-29,82
2024-10-06,82
2024-10-13,87
2024-10-20,100
2024-10-27,84
2024-11-03,75
2024-11-10,91
2024-11-17,95
2024-11-24,76
