Category: All categories

Week,clot: (United States)
2023-02-26,92
2023-03-05,84
2023-03-12,84
2023-03-19,87
2023-03-26,84
2023-04-02,85
2023-04-09,88
2023-04-16,86
2023-04-23,85
2023-04-30,81
2023-05-07,84
2023-05-14,88
2023-05-21,87
2023-05-28,92
2023-06-04,90
2023-06-11,100
2023-06-18,92
2023-06-25,87
2023-07-02,90
2023-07-09,86
2023-07-16,90
2023-07-23,100
2023-07-30,83
2023-08-06,85
2023-08-13,80
2023-08-20,77
2023-08-27,79
2023-09-03,83
2023-09-10,80
2023-09-17,82
2023-09-24,80
2023-10-01,83
2023-10-08,81
2023-10-15,84
2023-10-22,84
2023-10-29,77
2023-11-05,76
2023-11-12,84
2023-11-19,72
2023-11-26,80
2023-12-03,76
2023-12-10,78
2023-12-17,77
2023-12-24,75
2023-12-31,80
2024-01-07,79
2024-01-14,81
2024-01-21,86
2024-01-28,83
2024-02-04,86
2024-02-11,86
2024-02-18,90
2024-02-25,87
2024-03-03,87
2024-03-10,86
2024-03-17,89
2024-03-24,83
2024-03-31,86
2024-04-07,84
2024-04-14,87
2024-04-21,88
2024-04-28,79
2024-05-05,80
2024-05-12,81
2024-05-19,86
2024-05-26,76
2024-06-02,84
2024-06-09,90
2024-06-16,84
2024-06-23,86
2024-06-30,81
2024-07-07,81
2024-07-14,83
2024-07-21,81
2024-07-28,87
2024-08-04,82
2024-08-11,85
2024-08-18,85
2024-08-25,83
2024-09-01,78
2024-09-08,80
2024-09-15,85
2024-09-22,77
2024-09-29,79
2024-10-06,77
2024-10-13,80
2024-10-20,82
2024-10-27,79
2024-11-03,77
2024-11-10,85
2024-11-17,87
2024-11-24,79
