Category: All categories

Week,delirium: (United States)
2023-02-26,69
2023-03-05,68
2023-03-12,75
2023-03-19,79
2023-03-26,77
2023-04-02,68
2023-04-09,76
2023-04-16,76
2023-04-23,73
2023-04-30,69
2023-05-07,70
2023-05-14,62
2023-05-21,69
2023-05-28,63
2023-06-04,64
2023-06-11,65
2023-06-18,62
2023-06-25,63
2023-07-02,67
2023-07-09,61
2023-07-16,59
2023-07-23,62
2023-07-30,61
2023-08-06,91
2023-08-13,100
2023-08-20,59
2023-08-27,64
2023-09-03,61
2023-09-10,67
2023-09-17,67
2023-09-24,68
2023-10-01,69
2023-10-08,73
2023-10-15,74
2023-10-22,74
2023-10-29,73
2023-11-05,72
2023-11-12,73
2023-11-19,65
2023-11-26,72
2023-12-03,72
2023-12-10,73
2023-12-17,72
2023-12-24,66
2023-12-31,63
2024-01-07,67
2024-01-14,97
2024-01-21,70
2024-01-28,72
2024-02-04,73
2024-02-11,72
2024-02-18,71
2024-02-25,72
2024-03-03,64
2024-03-10,70
2024-03-17,66
2024-03-24,71
2024-03-31,75
2024-04-07,90
2024-04-14,72
2024-04-21,76
2024-04-28,69
2024-05-05,65
2024-05-12,62
2024-05-19,62
2024-05-26,61
2024-06-02,64
2024-06-09,66
2024-06-16,72
2024-06-23,63
2024-06-30,60
2024-07-07,63
2024-07-14,57
2024-07-21,63
2024-07-28,62
2024-08-04,66
2024-08-11,63
2024-08-18,63
2024-08-25,65
2024-09-01,59
2024-09-08,72
2024-09-15,65
2024-09-22,70
2024-09-29,69
2024-10-06,62
2024-10-13,68
2024-10-20,63
2024-10-27,69
2024-11-03,62
2024-11-10,72
2024-11-17,74
2024-11-24,62
