Category: All categories

Week,dementia: (United States)
2023-02-26,63
2023-03-05,65
2023-03-12,60
2023-03-19,76
2023-03-26,65
2023-04-02,58
2023-04-09,62
2023-04-16,64
2023-04-23,64
2023-04-30,60
2023-05-07,56
2023-05-14,58
2023-05-21,61
2023-05-28,68
2023-06-04,61
2023-06-11,59
2023-06-18,57
2023-06-25,60
2023-07-02,60
2023-07-09,58
2023-07-16,57
2023-07-23,57
2023-07-30,52
2023-08-06,61
2023-08-13,58
2023-08-20,56
2023-08-27,54
2023-09-03,55
2023-09-10,54
2023-09-17,55
2023-09-24,61
2023-10-01,55
2023-10-08,53
2023-10-15,56
2023-10-22,60
2023-10-29,57
2023-11-05,61
2023-11-12,61
2023-11-19,58
2023-11-26,64
2023-12-03,61
2023-12-10,63
2023-12-17,56
2023-12-24,64
2023-12-31,63
2024-01-07,62
2024-01-14,58
2024-01-21,66
2024-01-28,68
2024-02-04,63
2024-02-11,59
2024-02-18,100
2024-02-25,96
2024-03-03,69
2024-03-10,66
2024-03-17,63
2024-03-24,64
2024-03-31,60
2024-04-07,60
2024-04-14,67
2024-04-21,60
2024-04-28,55
2024-05-05,62
2024-05-12,56
2024-05-19,55
2024-05-26,56
2024-06-02,59
2024-06-09,63
2024-06-16,63
2024-06-23,68
2024-06-30,70
2024-07-07,72
2024-07-14,59
2024-07-21,63
2024-07-28,67
2024-08-04,59
2024-08-11,66
2024-08-18,60
2024-08-25,58
2024-09-01,55
2024-09-08,57
2024-09-15,57
2024-09-22,58
2024-09-29,56
2024-10-06,57
2024-10-13,59
2024-10-20,60
2024-10-27,58
2024-11-03,53
2024-11-10,60
2024-11-17,63
2024-11-24,67
