Category: All categories

Week,donor: (United States)
2023-02-26,80
2023-03-05,72
2023-03-12,66
2023-03-19,73
2023-03-26,76
2023-04-02,72
2023-04-09,76
2023-04-16,73
2023-04-23,72
2023-04-30,77
2023-05-07,69
2023-05-14,65
2023-05-21,65
2023-05-28,64
2023-06-04,75
2023-06-11,67
2023-06-18,67
2023-06-25,70
2023-07-02,65
2023-07-09,64
2023-07-16,73
2023-07-23,64
2023-07-30,71
2023-08-06,72
2023-08-13,64
2023-08-20,66
2023-08-27,77
2023-09-03,65
2023-09-10,68
2023-09-17,71
2023-09-24,67
2023-10-01,66
2023-10-08,68
2023-10-15,72
2023-10-22,70
2023-10-29,70
2023-11-05,75
2023-11-12,72
2023-11-19,54
2023-11-26,70
2023-12-03,76
2023-12-10,68
2023-12-17,61
2023-12-24,57
2023-12-31,61
2024-01-07,67
2024-01-14,65
2024-01-21,78
2024-01-28,79
2024-02-04,77
2024-02-11,70
2024-02-18,66
2024-02-25,71
2024-03-03,75
2024-03-10,67
2024-03-17,69
2024-03-24,71
2024-03-31,72
2024-04-07,69
2024-04-14,76
2024-04-21,80
2024-04-28,69
2024-05-05,69
2024-05-12,70
2024-05-19,67
2024-05-26,64
2024-06-02,63
2024-06-09,66
2024-06-16,71
2024-06-23,68
2024-06-30,81
2024-07-07,100
2024-07-14,76
2024-07-21,80
2024-07-28,68
2024-08-04,73
2024-08-11,68
2024-08-18,74
2024-08-25,72
2024-09-01,61
2024-09-08,72
2024-09-15,68
2024-09-22,68
2024-09-29,70
2024-10-06,75
2024-10-13,83
2024-10-20,97
2024-10-27,79
2024-11-03,70
2024-11-10,79
2024-11-17,82
2024-11-24,71
