Category: All categories

Week,gunshot wounds: (United States)
2023-02-26,100
2023-03-05,58
2023-03-12,47
2023-03-19,58
2023-03-26,79
2023-04-02,49
2023-04-09,79
2023-04-16,80
2023-04-23,50
2023-04-30,71
2023-05-07,69
2023-05-14,56
2023-05-21,54
2023-05-28,56
2023-06-04,66
2023-06-11,42
2023-06-18,51
2023-06-25,47
2023-07-02,56
2023-07-09,54
2023-07-16,50
2023-07-23,38
2023-07-30,48
2023-08-06,44
2023-08-13,50
2023-08-20,53
2023-08-27,42
2023-09-03,44
2023-09-10,46
2023-09-17,45
2023-09-24,59
2023-10-01,53
2023-10-08,38
2023-10-15,52
2023-10-22,78
2023-10-29,95
2023-11-05,56
2023-11-12,64
2023-11-19,66
2023-11-26,69
2023-12-03,46
2023-12-10,38
2023-12-17,41
2023-12-24,53
2023-12-31,44
2024-01-07,59
2024-01-14,47
2024-01-21,49
2024-01-28,43
2024-02-04,54
2024-02-11,63
2024-02-18,47
2024-02-25,62
2024-03-03,64
2024-03-10,64
2024-03-17,67
2024-03-24,53
2024-03-31,54
2024-04-07,67
2024-04-14,59
2024-04-21,56
2024-04-28,64
2024-05-05,50
2024-05-12,57
2024-05-19,46
2024-05-26,45
2024-06-02,49
2024-06-09,56
2024-06-16,44
2024-06-23,71
2024-06-30,48
2024-07-07,52
2024-07-14,92
2024-07-21,64
2024-07-28,48
2024-08-04,51
2024-08-11,65
2024-08-18,72
2024-08-25,63
2024-09-01,50
2024-09-08,64
2024-09-15,44
2024-09-22,46
2024-09-29,55
2024-10-06,52
2024-10-13,59
2024-10-20,59
2024-10-27,68
2024-11-03,38
2024-11-10,55
2024-11-17,34
2024-11-24,44
