Category: All categories

Week,gynecologist: (United States)
2023-02-26,70
2023-03-05,71
2023-03-12,73
2023-03-19,71
2023-03-26,71
2023-04-02,66
2023-04-09,70
2023-04-16,63
2023-04-23,70
2023-04-30,66
2023-05-07,67
2023-05-14,63
2023-05-21,71
2023-05-28,73
2023-06-04,68
2023-06-11,74
2023-06-18,71
2023-06-25,74
2023-07-02,73
2023-07-09,75
2023-07-16,80
2023-07-23,100
2023-07-30,87
2023-08-06,85
2023-08-13,83
2023-08-20,71
2023-08-27,66
2023-09-03,71
2023-09-10,69
2023-09-17,72
2023-09-24,73
2023-10-01,78
2023-10-08,71
2023-10-15,68
2023-10-22,70
2023-10-29,65
2023-11-05,73
2023-11-12,71
2023-11-19,55
2023-11-26,70
2023-12-03,71
2023-12-10,66
2023-12-17,65
2023-12-24,62
2023-12-31,75
2024-01-07,83
2024-01-14,77
2024-01-21,77
2024-01-28,70
2024-02-04,72
2024-02-11,66
2024-02-18,69
2024-02-25,74
2024-03-03,69
2024-03-10,67
2024-03-17,70
2024-03-24,59
2024-03-31,71
2024-04-07,66
2024-04-14,64
2024-04-21,68
2024-04-28,64
2024-05-05,69
2024-05-12,65
2024-05-19,67
2024-05-26,70
2024-06-02,72
2024-06-09,69
2024-06-16,70
2024-06-23,74
2024-06-30,66
2024-07-07,69
2024-07-14,68
2024-07-21,71
2024-07-28,78
2024-08-04,73
2024-08-11,74
2024-08-18,74
2024-08-25,75
2024-09-01,62
2024-09-08,71
2024-09-15,68
2024-09-22,62
2024-09-29,69
2024-10-06,66
2024-10-13,70
2024-10-20,66
2024-10-27,69
2024-11-03,62
2024-11-10,66
2024-11-17,67
2024-11-24,56
