Category: All categories

Week,incision: (United States)
2023-02-26,87
2023-03-05,87
2023-03-12,85
2023-03-19,90
2023-03-26,86
2023-04-02,83
2023-04-09,88
2023-04-16,87
2023-04-23,89
2023-04-30,85
2023-05-07,84
2023-05-14,86
2023-05-21,88
2023-05-28,82
2023-06-04,88
2023-06-11,89
2023-06-18,87
2023-06-25,87
2023-07-02,87
2023-07-09,86
2023-07-16,89
2023-07-23,91
2023-07-30,86
2023-08-06,85
2023-08-13,84
2023-08-20,88
2023-08-27,87
2023-09-03,83
2023-09-10,88
2023-09-17,94
2023-09-24,93
2023-10-01,87
2023-10-08,92
2023-10-15,93
2023-10-22,90
2023-10-29,84
2023-11-05,92
2023-11-12,97
2023-11-19,79
2023-11-26,84
2023-12-03,91
2023-12-10,85
2023-12-17,79
2023-12-24,74
2023-12-31,71
2024-01-07,83
2024-01-14,81
2024-01-21,93
2024-01-28,94
2024-02-04,92
2024-02-11,91
2024-02-18,93
2024-02-25,90
2024-03-03,88
2024-03-10,91
2024-03-17,93
2024-03-24,93
2024-03-31,87
2024-04-07,89
2024-04-14,91
2024-04-21,92
2024-04-28,89
2024-05-05,88
2024-05-12,89
2024-05-19,84
2024-05-26,82
2024-06-02,92
2024-06-09,95
2024-06-16,90
2024-06-23,93
2024-06-30,85
2024-07-07,90
2024-07-14,87
2024-07-21,88
2024-07-28,91
2024-08-04,81
2024-08-11,87
2024-08-18,86
2024-08-25,90
2024-09-01,84
2024-09-08,92
2024-09-15,94
2024-09-22,94
2024-09-29,89
2024-10-06,92
2024-10-13,94
2024-10-20,98
2024-10-27,99
2024-11-03,93
2024-11-10,97
2024-11-17,100
2024-11-24,88
