Category: All categories

Week,internal bleeding: (United States)
2023-02-26,81
2023-03-05,91
2023-03-12,82
2023-03-19,93
2023-03-26,91
2023-04-02,86
2023-04-09,87
2023-04-16,83
2023-04-23,88
2023-04-30,89
2023-05-07,88
2023-05-14,93
2023-05-21,94
2023-05-28,88
2023-06-04,86
2023-06-11,87
2023-06-18,87
2023-06-25,83
2023-07-02,90
2023-07-09,92
2023-07-16,88
2023-07-23,95
2023-07-30,92
2023-08-06,92
2023-08-13,77
2023-08-20,90
2023-08-27,84
2023-09-03,91
2023-09-10,88
2023-09-17,91
2023-09-24,88
2023-10-01,85
2023-10-08,92
2023-10-15,91
2023-10-22,95
2023-10-29,91
2023-11-05,98
2023-11-12,93
2023-11-19,83
2023-11-26,85
2023-12-03,93
2023-12-10,86
2023-12-17,92
2023-12-24,80
2023-12-31,85
2024-01-07,81
2024-01-14,83
2024-01-21,96
2024-01-28,90
2024-02-04,91
2024-02-11,87
2024-02-18,96
2024-02-25,82
2024-03-03,89
2024-03-10,88
2024-03-17,90
2024-03-24,92
2024-03-31,94
2024-04-07,89
2024-04-14,98
2024-04-21,94
2024-04-28,97
2024-05-05,93
2024-05-12,98
2024-05-19,100
2024-05-26,94
2024-06-02,89
2024-06-09,98
2024-06-16,98
2024-06-23,99
2024-06-30,91
2024-07-07,89
2024-07-14,89
2024-07-21,91
2024-07-28,93
2024-08-04,98
2024-08-11,96
2024-08-18,93
2024-08-25,84
2024-09-01,94
2024-09-08,98
2024-09-15,90
2024-09-22,90
2024-09-29,87
2024-10-06,94
2024-10-13,88
2024-10-20,95
2024-10-27,97
2024-11-03,81
2024-11-10,87
2024-11-17,92
2024-11-24,93
