Category: All categories

Week,metastasized: (United States)
2023-02-26,69
2023-03-05,63
2023-03-12,64
2023-03-19,78
2023-03-26,66
2023-04-02,77
2023-04-09,63
2023-04-16,89
2023-04-23,82
2023-04-30,86
2023-05-07,81
2023-05-14,71
2023-05-21,75
2023-05-28,71
2023-06-04,76
2023-06-11,100
2023-06-18,63
2023-06-25,75
2023-07-02,65
2023-07-09,75
2023-07-16,66
2023-07-23,75
2023-07-30,70
2023-08-06,78
2023-08-13,71
2023-08-20,79
2023-08-27,69
2023-09-03,80
2023-09-10,85
2023-09-17,81
2023-09-24,76
2023-10-01,89
2023-10-08,75
2023-10-15,82
2023-10-22,86
2023-10-29,77
2023-11-05,66
2023-11-12,81
2023-11-19,74
2023-11-26,79
2023-12-03,77
2023-12-10,79
2023-12-17,67
2023-12-24,55
2023-12-31,64
2024-01-07,81
2024-01-14,70
2024-01-21,81
2024-01-28,89
2024-02-04,81
2024-02-11,77
2024-02-18,91
2024-02-25,87
2024-03-03,68
2024-03-10,66
2024-03-17,81
2024-03-24,74
2024-03-31,85
2024-04-07,77
2024-04-14,77
2024-04-21,70
2024-04-28,68
2024-05-05,90
2024-05-12,78
2024-05-19,77
2024-05-26,60
2024-06-02,67
2024-06-09,59
2024-06-16,72
2024-06-23,68
2024-06-30,61
2024-07-07,70
2024-07-14,73
2024-07-21,70
2024-07-28,69
2024-08-04,68
2024-08-11,79
2024-08-18,81
2024-08-25,65
2024-09-01,77
2024-09-08,69
2024-09-15,79
2024-09-22,84
2024-09-29,89
2024-10-06,74
2024-10-13,86
2024-10-20,91
2024-10-27,84
2024-11-03,74
2024-11-10,80
2024-11-17,84
2024-11-24,71
