Category: All categories

Week,neurosurgery: (United States)
2023-02-26,81
2023-03-05,81
2023-03-12,87
2023-03-19,93
2023-03-26,88
2023-04-02,87
2023-04-09,83
2023-04-16,84
2023-04-23,85
2023-04-30,85
2023-05-07,81
2023-05-14,81
2023-05-21,82
2023-05-28,75
2023-06-04,81
2023-06-11,83
2023-06-18,84
2023-06-25,82
2023-07-02,79
2023-07-09,87
2023-07-16,89
2023-07-23,88
2023-07-30,100
2023-08-06,89
2023-08-13,90
2023-08-20,87
2023-08-27,88
2023-09-03,80
2023-09-10,91
2023-09-17,87
2023-09-24,85
2023-10-01,87
2023-10-08,87
2023-10-15,90
2023-10-22,82
2023-10-29,80
2023-11-05,85
2023-11-12,86
2023-11-19,62
2023-11-26,85
2023-12-03,86
2023-12-10,81
2023-12-17,73
2023-12-24,61
2023-12-31,78
2024-01-07,81
2024-01-14,84
2024-01-21,92
2024-01-28,87
2024-02-04,87
2024-02-11,87
2024-02-18,89
2024-02-25,86
2024-03-03,88
2024-03-10,98
2024-03-17,92
2024-03-24,87
2024-03-31,86
2024-04-07,89
2024-04-14,85
2024-04-21,89
2024-04-28,83
2024-05-05,86
2024-05-12,84
2024-05-19,83
2024-05-26,78
2024-06-02,90
2024-06-09,89
2024-06-16,92
2024-06-23,91
2024-06-30,78
2024-07-07,93
2024-07-14,91
2024-07-21,91
2024-07-28,91
2024-08-04,90
2024-08-11,97
2024-08-18,95
2024-08-25,92
2024-09-01,90
2024-09-08,92
2024-09-15,91
2024-09-22,91
2024-09-29,92
2024-10-06,89
2024-10-13,90
2024-10-20,89
2024-10-27,91
2024-11-03,87
2024-11-10,88
2024-11-17,95
2024-11-24,67
