Category: All categories

Week,organ transplant: (United States)
2023-02-26,74
2023-03-05,66
2023-03-12,56
2023-03-19,85
2023-03-26,76
2023-04-02,68
2023-04-09,72
2023-04-16,75
2023-04-23,77
2023-04-30,70
2023-05-07,77
2023-05-14,57
2023-05-21,63
2023-05-28,56
2023-06-04,48
2023-06-11,45
2023-06-18,43
2023-06-25,44
2023-07-02,47
2023-07-09,100
2023-07-16,59
2023-07-23,47
2023-07-30,54
2023-08-06,52
2023-08-13,49
2023-08-20,46
2023-08-27,60
2023-09-03,62
2023-09-10,66
2023-09-17,58
2023-09-24,63
2023-10-01,57
2023-10-08,61
2023-10-15,68
2023-10-22,59
2023-10-29,67
2023-11-05,70
2023-11-12,76
2023-11-19,56
2023-11-26,71
2023-12-03,83
2023-12-10,63
2023-12-17,48
2023-12-24,46
2023-12-31,47
2024-01-07,56
2024-01-14,57
2024-01-21,67
2024-01-28,71
2024-02-04,65
2024-02-11,76
2024-02-18,75
2024-02-25,88
2024-03-03,70
2024-03-10,71
2024-03-17,88
2024-03-24,77
2024-03-31,79
2024-04-07,81
2024-04-14,77
2024-04-21,81
2024-04-28,75
2024-05-05,74
2024-05-12,79
2024-05-19,68
2024-05-26,59
2024-06-02,55
2024-06-09,58
2024-06-16,50
2024-06-23,52
2024-06-30,57
2024-07-07,62
2024-07-14,52
2024-07-21,55
2024-07-28,52
2024-08-04,52
2024-08-11,48
2024-08-18,59
2024-08-25,62
2024-09-01,62
2024-09-08,66
2024-09-15,63
2024-09-22,79
2024-09-29,66
2024-10-06,69
2024-10-13,83
2024-10-20,79
2024-10-27,82
2024-11-03,73
2024-11-10,70
2024-11-17,71
2024-11-24,57
