Category: All categories

Week,paediatric: (United States)
2023-02-26,54
2023-03-05,57
2023-03-12,52
2023-03-19,56
2023-03-26,56
2023-04-02,46
2023-04-09,47
2023-04-16,53
2023-04-23,34
2023-04-30,54
2023-05-07,38
2023-05-14,72
2023-05-21,34
2023-05-28,51
2023-06-04,37
2023-06-11,43
2023-06-18,57
2023-06-25,50
2023-07-02,44
2023-07-09,56
2023-07-16,54
2023-07-23,86
2023-07-30,57
2023-08-06,52
2023-08-13,57
2023-08-20,57
2023-08-27,56
2023-09-03,56
2023-09-10,41
2023-09-17,57
2023-09-24,49
2023-10-01,48
2023-10-08,38
2023-10-15,67
2023-10-22,71
2023-10-29,56
2023-11-05,63
2023-11-12,75
2023-11-19,62
2023-11-26,68
2023-12-03,60
2023-12-10,47
2023-12-17,43
2023-12-24,58
2023-12-31,60
2024-01-07,71
2024-01-14,65
2024-01-21,67
2024-01-28,55
2024-02-04,71
2024-02-11,51
2024-02-18,67
2024-02-25,61
2024-03-03,43
2024-03-10,91
2024-03-17,72
2024-03-24,71
2024-03-31,63
2024-04-07,60
2024-04-14,64
2024-04-21,65
2024-04-28,66
2024-05-05,45
2024-05-12,72
2024-05-19,51
2024-05-26,46
2024-06-02,54
2024-06-09,54
2024-06-16,73
2024-06-23,70
2024-06-30,65
2024-07-07,87
2024-07-14,74
2024-07-21,71
2024-07-28,64
2024-08-04,70
2024-08-11,64
2024-08-18,83
2024-08-25,76
2024-09-01,71
2024-09-08,84
2024-09-15,71
2024-09-22,100
2024-09-29,66
2024-10-06,61
2024-10-13,78
2024-10-20,77
2024-10-27,70
2024-11-03,59
2024-11-10,74
2024-11-17,65
2024-11-24,74
