Category: All categories

Week,paramedics: (United States)
2023-02-26,60
2023-03-05,67
2023-03-12,61
2023-03-19,65
2023-03-26,67
2023-04-02,58
2023-04-09,56
2023-04-16,61
2023-04-23,63
2023-04-30,66
2023-05-07,63
2023-05-14,60
2023-05-21,55
2023-05-28,58
2023-06-04,55
2023-06-11,59
2023-06-18,65
2023-06-25,54
2023-07-02,68
2023-07-09,64
2023-07-16,56
2023-07-23,54
2023-07-30,59
2023-08-06,57
2023-08-13,51
2023-08-20,66
2023-08-27,58
2023-09-03,67
2023-09-10,72
2023-09-17,65
2023-09-24,60
2023-10-01,59
2023-10-08,68
2023-10-15,61
2023-10-22,62
2023-10-29,58
2023-11-05,62
2023-11-12,64
2023-11-19,55
2023-11-26,65
2023-12-03,62
2023-12-10,58
2023-12-17,100
2023-12-24,73
2023-12-31,63
2024-01-07,67
2024-01-14,64
2024-01-21,65
2024-01-28,69
2024-02-04,67
2024-02-11,64
2024-02-18,79
2024-02-25,73
2024-03-03,73
2024-03-10,66
2024-03-17,67
2024-03-24,63
2024-03-31,69
2024-04-07,64
2024-04-14,71
2024-04-21,75
2024-04-28,65
2024-05-05,69
2024-05-12,67
2024-05-19,73
2024-05-26,69
2024-06-02,65
2024-06-09,67
2024-06-16,61
2024-06-23,57
2024-06-30,58
2024-07-07,64
2024-07-14,60
2024-07-21,58
2024-07-28,63
2024-08-04,60
2024-08-11,64
2024-08-18,69
2024-08-25,68
2024-09-01,68
2024-09-08,85
2024-09-15,71
2024-09-22,77
2024-09-29,72
2024-10-06,70
2024-10-13,75
2024-10-20,77
2024-10-27,67
2024-11-03,63
2024-11-10,63
2024-11-17,64
2024-11-24,59
