Category: All categories

Week,seizures: (United States)
2023-02-26,94
2023-03-05,95
2023-03-12,92
2023-03-19,96
2023-03-26,100
2023-04-02,90
2023-04-09,91
2023-04-16,98
2023-04-23,89
2023-04-30,88
2023-05-07,87
2023-05-14,85
2023-05-21,85
2023-05-28,77
2023-06-04,86
2023-06-11,84
2023-06-18,86
2023-06-25,84
2023-07-02,87
2023-07-09,83
2023-07-16,82
2023-07-23,92
2023-07-30,84
2023-08-06,84
2023-08-13,84
2023-08-20,88
2023-08-27,97
2023-09-03,86
2023-09-10,93
2023-09-17,90
2023-09-24,93
2023-10-01,86
2023-10-08,90
2023-10-15,93
2023-10-22,89
2023-10-29,88
2023-11-05,84
2023-11-12,90
2023-11-19,78
2023-11-26,90
2023-12-03,94
2023-12-10,86
2023-12-17,75
2023-12-24,75
2023-12-31,81
2024-01-07,86
2024-01-14,80
2024-01-21,91
2024-01-28,88
2024-02-04,96
2024-02-11,84
2024-02-18,91
2024-02-25,90
2024-03-03,85
2024-03-10,76
2024-03-17,90
2024-03-24,79
2024-03-31,88
2024-04-07,87
2024-04-14,93
2024-04-21,94
2024-04-28,85
2024-05-05,83
2024-05-12,81
2024-05-19,84
2024-05-26,77
2024-06-02,78
2024-06-09,81
2024-06-16,77
2024-06-23,82
2024-06-30,78
2024-07-07,83
2024-07-14,76
2024-07-21,83
2024-07-28,90
2024-08-04,96
2024-08-11,91
2024-08-18,95
2024-08-25,86
2024-09-01,90
2024-09-08,89
2024-09-15,98
2024-09-22,95
2024-09-29,95
2024-10-06,88
2024-10-13,93
2024-10-20,94
2024-10-27,94
2024-11-03,85
2024-11-10,86
2024-11-17,98
2024-11-24,88
