Category: All categories

Week,stroke: (United States)
2023-02-26,78
2023-03-05,71
2023-03-12,69
2023-03-19,72
2023-03-26,74
2023-04-02,73
2023-04-09,82
2023-04-16,84
2023-04-23,82
2023-04-30,79
2023-05-07,80
2023-05-14,80
2023-05-21,81
2023-05-28,81
2023-06-04,79
2023-06-11,80
2023-06-18,81
2023-06-25,83
2023-07-02,86
2023-07-09,84
2023-07-16,88
2023-07-23,100
2023-07-30,86
2023-08-06,78
2023-08-13,79
2023-08-20,78
2023-08-27,71
2023-09-03,72
2023-09-10,71
2023-09-17,76
2023-09-24,69
2023-10-01,69
2023-10-08,70
2023-10-15,68
2023-10-22,72
2023-10-29,66
2023-11-05,67
2023-11-12,67
2023-11-19,60
2023-11-26,64
2023-12-03,63
2023-12-10,63
2023-12-17,61
2023-12-24,58
2023-12-31,62
2024-01-07,62
2024-01-14,66
2024-01-21,71
2024-01-28,72
2024-02-04,73
2024-02-11,70
2024-02-18,74
2024-02-25,74
2024-03-03,73
2024-03-10,73
2024-03-17,72
2024-03-24,70
2024-03-31,72
2024-04-07,72
2024-04-14,80
2024-04-21,74
2024-04-28,75
2024-05-05,79
2024-05-12,79
2024-05-19,79
2024-05-26,77
2024-06-02,81
2024-06-09,80
2024-06-16,87
2024-06-23,86
2024-06-30,85
2024-07-07,92
2024-07-14,81
2024-07-21,77
2024-07-28,84
2024-08-04,78
2024-08-11,75
2024-08-18,70
2024-08-25,72
2024-09-01,70
2024-09-08,67
2024-09-15,71
2024-09-22,69
2024-09-29,70
2024-10-06,69
2024-10-13,69
2024-10-20,73
2024-10-27,72
2024-11-03,64
2024-11-10,70
2024-11-17,67
2024-11-24,68
