Category: All categories

Week,trauma: (United States)
2023-02-26,95
2023-03-05,94
2023-03-12,91
2023-03-19,92
2023-03-26,92
2023-04-02,93
2023-04-09,95
2023-04-16,96
2023-04-23,95
2023-04-30,95
2023-05-07,92
2023-05-14,89
2023-05-21,84
2023-05-28,80
2023-06-04,81
2023-06-11,85
2023-06-18,90
2023-06-25,84
2023-07-02,80
2023-07-09,85
2023-07-16,87
2023-07-23,91
2023-07-30,85
2023-08-06,94
2023-08-13,86
2023-08-20,84
2023-08-27,85
2023-09-03,86
2023-09-10,89
2023-09-17,91
2023-09-24,87
2023-10-01,88
2023-10-08,92
2023-10-15,92
2023-10-22,95
2023-10-29,88
2023-11-05,100
2023-11-12,99
2023-11-19,79
2023-11-26,91
2023-12-03,96
2023-12-10,91
2023-12-17,77
2023-12-24,72
2023-12-31,82
2024-01-07,84
2024-01-14,85
2024-01-21,90
2024-01-28,95
2024-02-04,92
2024-02-11,94
2024-02-18,99
2024-02-25,92
2024-03-03,92
2024-03-10,91
2024-03-17,94
2024-03-24,92
2024-03-31,93
2024-04-07,94
2024-04-14,97
2024-04-21,99
2024-04-28,91
2024-05-05,90
2024-05-12,87
2024-05-19,85
2024-05-26,83
2024-06-02,88
2024-06-09,86
2024-06-16,89
2024-06-23,90
2024-06-30,81
2024-07-07,90
2024-07-14,86
2024-07-21,88
2024-07-28,87
2024-08-04,84
2024-08-11,83
2024-08-18,85
2024-08-25,84
2024-09-01,84
2024-09-08,89
2024-09-15,90
2024-09-22,92
2024-09-29,88
2024-10-06,93
2024-10-13,95
2024-10-20,98
2024-10-27,96
2024-11-03,91
2024-11-10,93
2024-11-17,94
2024-11-24,85
