Category: All categories

Week,brain tumor: (United States)
2023-02-26,70
2023-03-05,85
2023-03-12,80
2023-03-19,83
2023-03-26,79
2023-04-02,79
2023-04-09,79
2023-04-16,82
2023-04-23,85
2023-04-30,91
2023-05-07,84
2023-05-14,81
2023-05-21,79
2023-05-28,77
2023-06-04,77
2023-06-11,78
2023-06-18,78
2023-06-25,76
2023-07-02,71
2023-07-09,73
2023-07-16,75
2023-07-23,80
2023-07-30,79
2023-08-06,76
2023-08-13,75
2023-08-20,70
2023-08-27,78
2023-09-03,78
2023-09-10,81
2023-09-17,88
2023-09-24,82
2023-10-01,81
2023-10-08,79
2023-10-15,83
2023-10-22,82
2023-10-29,71
2023-11-05,84
2023-11-12,87
2023-11-19,70
2023-11-26,82
2023-12-03,79
2023-12-10,77
2023-12-17,76
2023-12-24,68
2023-12-31,87
2024-01-07,100
2024-01-14,83
2024-01-21,90
2024-01-28,85
2024-02-04,84
2024-02-11,86
2024-02-18,91
2024-02-25,85
2024-03-03,81
2024-03-10,82
2024-03-17,81
2024-03-24,79
2024-03-31,81
2024-04-07,83
2024-04-14,88
2024-04-21,79
2024-04-28,84
2024-05-05,83
2024-05-12,81
2024-05-19,76
2024-05-26,75
2024-06-02,72
2024-06-09,79
2024-06-16,78
2024-06-23,75
2024-06-30,76
2024-07-07,75
2024-07-14,83
2024-07-21,78
2024-07-28,78
2024-08-04,77
2024-08-11,76
2024-08-18,76
2024-08-25,81
2024-09-01,80
2024-09-08,77
2024-09-15,79
2024-09-22,81
2024-09-29,87
2024-10-06,84
2024-10-13,83
2024-10-20,92
2024-10-27,98
2024-11-03,83
2024-11-10,89
2024-11-17,95
2024-11-24,80
