Category: All categories

Month,anti-inflammatory: (United States)
2004-01,61
2004-02,54
2004-03,63
2004-04,51
2004-05,66
2004-06,50
2004-07,69
2004-08,67
2004-09,66
2004-10,62
2004-11,61
2004-12,51
2005-01,64
2005-02,73
2005-03,64
2005-04,52
2005-05,50
2005-06,59
2005-07,56
2005-08,60
2005-09,56
2005-10,61
2005-11,61
2005-12,55
2006-01,58
2006-02,64
2006-03,64
2006-04,62
2006-05,60
2006-06,56
2006-07,60
2006-08,60
2006-09,58
2006-10,63
2006-11,53
2006-12,45
2007-01,51
2007-02,59
2007-03,50
2007-04,55
2007-05,53
2007-06,61
2007-07,65
2007-08,52
2007-09,52
2007-10,62
2007-11,61
2007-12,47
2008-01,52
2008-02,58
2008-03,55
2008-04,63
2008-05,58
2008-06,56
2008-07,58
2008-08,56
2008-09,60
2008-10,57
2008-11,59
2008-12,47
2009-01,60
2009-02,60
2009-03,63
2009-04,59
2009-05,56
2009-06,63
2009-07,57
2009-08,58
2009-09,59
2009-10,57
2009-11,58
2009-12,52
2010-01,60
2010-02,57
2010-03,59
2010-04,60
2010-05,60
2010-06,62
2010-07,56
2010-08,50
2010-09,55
2010-10,49
2010-11,51
2010-12,43
2011-01,57
2011-02,66
2011-03,68
2011-04,61
2011-05,55
2011-06,53
2011-07,54
2011-08,57
2011-09,59
2011-10,59
2011-11,55
2011-12,50
2012-01,57
2012-02,57
2012-03,55
2012-04,50
2012-05,53
2012-06,56
2012-07,63
2012-08,61
2012-09,56
2012-10,53
2012-11,54
2012-12,50
2013-01,60
2013-02,61
2013-03,60
2013-04,66
2013-05,55
2013-06,55
2013-07,54
2013-08,52
2013-09,52
2013-10,52
2013-11,49
2013-12,43
2014-01,53
2014-02,50
2014-03,50
2014-04,52
2014-05,51
2014-06,51
2014-07,49
2014-08,47
2014-09,43
2014-10,43
2014-11,43
2014-12,38
2015-01,47
2015-02,44
2015-03,48
2015-04,53
2015-05,46
2015-06,49
2015-07,49
2015-08,57
2015-09,60
2015-10,52
2015-11,53
2015-12,49
2016-01,53
2016-02,57
2016-03,53
2016-04,52
2016-05,54
2016-06,59
2016-07,50
2016-08,46
2016-09,44
2016-10,48
2016-11,48
2016-12,43
2017-01,53
2017-02,52
2017-03,58
2017-04,60
2017-05,52
2017-06,54
2017-07,56
2017-08,59
2017-09,58
2017-10,56
2017-11,57
2017-12,51
2018-01,63
2018-02,59
2018-03,59
2018-04,63
2018-05,64
2018-06,62
2018-07,61
2018-08,60
2018-09,60
2018-10,58
2018-11,53
2018-12,56
2019-01,70
2019-02,68
2019-03,69
2019-04,66
2019-05,60
2019-06,55
2019-07,60
2019-08,58
2019-09,56
2019-10,57
2019-11,57
2019-12,53
2020-01,64
2020-02,67
2020-03,68
2020-04,63
2020-05,62
2020-06,60
2020-07,61
2020-08,61
2020-09,56
2020-10,63
2020-11,55
2020-12,53
2021-01,61
2021-02,66
2021-03,69
2021-04,69
2021-05,65
2021-06,65
2021-07,68
2021-08,67
2021-09,64
2021-10,69
2021-11,64
2021-12,59
2022-01,91
2022-02,93
2022-03,91
2022-04,86
2022-05,91
2022-06,100
2022-07,91
2022-08,93
2022-09,86
2022-10,86
2022-11,69
2022-12,69
2023-01,77
2023-02,81
2023-03,80
2023-04,81
2023-05,80
2023-06,78
2023-07,75
2023-08,76
2023-09,68
2023-10,79
2023-11,72
2023-12,71
2024-01,81
2024-02,89
2024-03,85
2024-04,85
2024-05,81
2024-06,78
2024-07,77
2024-08,76
2024-09,81
2024-10,80
2024-11,83
