Category: All categories

Month,autism: (United States)
2004-01,33
2004-02,36
2004-03,37
2004-04,43
2004-05,37
2004-06,33
2004-07,31
2004-08,32
2004-09,37
2004-10,38
2004-11,39
2004-12,37
2005-01,34
2005-02,54
2005-03,47
2005-04,46
2005-05,42
2005-06,38
2005-07,36
2005-08,34
2005-09,33
2005-10,42
2005-11,38
2005-12,30
2006-01,35
2006-02,38
2006-03,44
2006-04,43
2006-05,44
2006-06,37
2006-07,36
2006-08,37
2006-09,40
2006-10,48
2006-11,43
2006-12,35
2007-01,39
2007-02,51
2007-03,47
2007-04,66
2007-05,48
2007-06,47
2007-07,38
2007-08,43
2007-09,72
2007-10,70
2007-11,55
2007-12,40
2008-01,49
2008-02,50
2008-03,62
2008-04,82
2008-05,51
2008-06,42
2008-07,46
2008-08,37
2008-09,48
2008-10,55
2008-11,46
2008-12,37
2009-01,49
2009-02,49
2009-03,46
2009-04,60
2009-05,46
2009-06,38
2009-07,35
2009-08,35
2009-09,44
2009-10,51
2009-11,45
2009-12,37
2010-01,41
2010-02,49
2010-03,48
2010-04,57
2010-05,44
2010-06,36
2010-07,33
2010-08,32
2010-09,41
2010-10,47
2010-11,40
2010-12,34
2011-01,46
2011-02,47
2011-03,54
2011-04,65
2011-05,47
2011-06,39
2011-07,42
2011-08,38
2011-09,42
2011-10,47
2011-11,45
2011-12,37
2012-01,42
2012-02,42
2012-03,51
2012-04,69
2012-05,43
2012-06,37
2012-07,39
2012-08,38
2012-09,44
2012-10,47
2012-11,42
2012-12,38
2013-01,41
2013-02,41
2013-03,46
2013-04,68
2013-05,43
2013-06,39
2013-07,40
2013-08,43
2013-09,45
2013-10,44
2013-11,43
2013-12,35
2014-01,40
2014-02,42
2014-03,53
2014-04,71
2014-05,46
2014-06,39
2014-07,38
2014-08,38
2014-09,47
2014-10,44
2014-11,40
2014-12,36
2015-01,39
2015-02,49
2015-03,48
2015-04,70
2015-05,41
2015-06,37
2015-07,38
2015-08,38
2015-09,45
2015-10,46
2015-11,41
2015-12,38
2016-01,40
2016-02,44
2016-03,50
2016-04,68
2016-05,50
2016-06,39
2016-07,38
2016-08,40
2016-09,44
2016-10,45
2016-11,46
2016-12,39
2017-01,45
2017-02,50
2017-03,57
2017-04,69
2017-05,50
2017-06,41
2017-07,40
2017-08,43
2017-09,44
2017-10,49
2017-11,49
2017-12,40
2018-01,44
2018-02,50
2018-03,55
2018-04,66
2018-05,47
2018-06,42
2018-07,41
2018-08,44
2018-09,48
2018-10,51
2018-11,48
2018-12,44
2019-01,48
2019-02,51
2019-03,60
2019-04,73
2019-05,51
2019-06,45
2019-07,43
2019-08,44
2019-09,51
2019-10,51
2019-11,48
2019-12,44
2020-01,48
2020-02,50
2020-03,41
2020-04,46
2020-05,40
2020-06,39
2020-07,41
2020-08,43
2020-09,42
2020-10,41
2020-11,36
2020-12,38
2021-01,40
2021-02,44
2021-03,47
2021-04,66
2021-05,50
2021-06,45
2021-07,46
2021-08,44
2021-09,48
2021-10,49
2021-11,46
2021-12,46
2022-01,52
2022-02,57
2022-03,64
2022-04,82
2022-05,63
2022-06,59
2022-07,60
2022-08,60
2022-09,62
2022-10,61
2022-11,65
2022-12,64
2023-01,69
2023-02,75
2023-03,78
2023-04,85
2023-05,74
2023-06,72
2023-07,65
2023-08,67
2023-09,69
2023-10,69
2023-11,70
2023-12,68
2024-01,75
2024-02,80
2024-03,78
2024-04,100
2024-05,72
2024-06,68
2024-07,69
2024-08,73
2024-09,73
2024-10,76
2024-11,73
