Category: All categories

Month,benign: (United States)
2004-01,59
2004-02,56
2004-03,59
2004-04,60
2004-05,54
2004-06,61
2004-07,63
2004-08,61
2004-09,60
2004-10,59
2004-11,57
2004-12,53
2005-01,55
2005-02,58
2005-03,58
2005-04,60
2005-05,59
2005-06,60
2005-07,56
2005-08,55
2005-09,56
2005-10,52
2005-11,55
2005-12,50
2006-01,54
2006-02,52
2006-03,58
2006-04,55
2006-05,55
2006-06,56
2006-07,51
2006-08,54
2006-09,51
2006-10,57
2006-11,52
2006-12,50
2007-01,55
2007-02,50
2007-03,53
2007-04,53
2007-05,52
2007-06,51
2007-07,56
2007-08,53
2007-09,53
2007-10,59
2007-11,55
2007-12,47
2008-01,52
2008-02,50
2008-03,51
2008-04,53
2008-05,56
2008-06,52
2008-07,51
2008-08,49
2008-09,52
2008-10,54
2008-11,57
2008-12,56
2009-01,52
2009-02,56
2009-03,57
2009-04,59
2009-05,56
2009-06,61
2009-07,57
2009-08,56
2009-09,58
2009-10,61
2009-11,58
2009-12,49
2010-01,51
2010-02,55
2010-03,56
2010-04,58
2010-05,54
2010-06,54
2010-07,51
2010-08,47
2010-09,55
2010-10,55
2010-11,50
2010-12,45
2011-01,51
2011-02,56
2011-03,59
2011-04,51
2011-05,51
2011-06,51
2011-07,50
2011-08,51
2011-09,54
2011-10,56
2011-11,55
2011-12,48
2012-01,54
2012-02,59
2012-03,56
2012-04,61
2012-05,58
2012-06,58
2012-07,49
2012-08,55
2012-09,62
2012-10,67
2012-11,57
2012-12,50
2013-01,59
2013-02,68
2013-03,60
2013-04,63
2013-05,62
2013-06,56
2013-07,56
2013-08,56
2013-09,64
2013-10,68
2013-11,64
2013-12,57
2014-01,61
2014-02,67
2014-03,67
2014-04,68
2014-05,65
2014-06,58
2014-07,60
2014-08,62
2014-09,69
2014-10,79
2014-11,69
2014-12,64
2015-01,66
2015-02,68
2015-03,72
2015-04,74
2015-05,68
2015-06,69
2015-07,65
2015-08,67
2015-09,77
2015-10,82
2015-11,78
2015-12,76
2016-01,72
2016-02,77
2016-03,76
2016-04,74
2016-05,71
2016-06,67
2016-07,63
2016-08,63
2016-09,75
2016-10,79
2016-11,74
2016-12,63
2017-01,71
2017-02,78
2017-03,79
2017-04,73
2017-05,72
2017-06,67
2017-07,67
2017-08,68
2017-09,71
2017-10,82
2017-11,78
2017-12,69
2018-01,76
2018-02,79
2018-03,76
2018-04,78
2018-05,83
2018-06,72
2018-07,70
2018-08,74
2018-09,75
2018-10,85
2018-11,82
2018-12,72
2019-01,76
2019-02,83
2019-03,75
2019-04,82
2019-05,74
2019-06,71
2019-07,70
2019-08,70
2019-09,76
2019-10,84
2019-11,76
2019-12,66
2020-01,77
2020-02,81
2020-03,61
2020-04,54
2020-05,54
2020-06,60
2020-07,67
2020-08,66
2020-09,76
2020-10,76
2020-11,66
2020-12,67
2021-01,68
2021-02,74
2021-03,73
2021-04,75
2021-05,71
2021-06,70
2021-07,63
2021-08,67
2021-09,72
2021-10,74
2021-11,72
2021-12,68
2022-01,73
2022-02,88
2022-03,89
2022-04,89
2022-05,79
2022-06,73
2022-07,72
2022-08,77
2022-09,84
2022-10,85
2022-11,79
2022-12,77
2023-01,78
2023-02,100
2023-03,91
2023-04,88
2023-05,87
2023-06,80
2023-07,74
2023-08,82
2023-09,84
2023-10,94
2023-11,89
2023-12,81
2024-01,87
2024-02,94
2024-03,96
2024-04,93
2024-05,89
2024-06,79
2024-07,82
2024-08,82
2024-09,91
2024-10,97
2024-11,92
