Category: All categories

Month,biopsy: (United States)
2004-01,51
2004-02,54
2004-03,56
2004-04,55
2004-05,53
2004-06,58
2004-07,55
2004-08,57
2004-09,54
2004-10,54
2004-11,55
2004-12,50
2005-01,57
2005-02,55
2005-03,57
2005-04,55
2005-05,56
2005-06,59
2005-07,56
2005-08,58
2005-09,59
2005-10,53
2005-11,52
2005-12,47
2006-01,54
2006-02,55
2006-03,55
2006-04,57
2006-05,59
2006-06,56
2006-07,56
2006-08,60
2006-09,54
2006-10,58
2006-11,55
2006-12,51
2007-01,56
2007-02,54
2007-03,53
2007-04,56
2007-05,58
2007-06,54
2007-07,57
2007-08,56
2007-09,64
2007-10,59
2007-11,57
2007-12,48
2008-01,53
2008-02,61
2008-03,54
2008-04,55
2008-05,56
2008-06,54
2008-07,54
2008-08,51
2008-09,54
2008-10,58
2008-11,54
2008-12,47
2009-01,53
2009-02,53
2009-03,53
2009-04,54
2009-05,53
2009-06,59
2009-07,56
2009-08,61
2009-09,54
2009-10,54
2009-11,54
2009-12,46
2010-01,45
2010-02,55
2010-03,56
2010-04,53
2010-05,54
2010-06,50
2010-07,47
2010-08,48
2010-09,49
2010-10,51
2010-11,49
2010-12,43
2011-01,55
2011-02,57
2011-03,60
2011-04,60
2011-05,57
2011-06,59
2011-07,56
2011-08,56
2011-09,56
2011-10,60
2011-11,54
2011-12,52
2012-01,56
2012-02,59
2012-03,60
2012-04,57
2012-05,59
2012-06,57
2012-07,54
2012-08,59
2012-09,59
2012-10,60
2012-11,57
2012-12,47
2013-01,55
2013-02,61
2013-03,56
2013-04,63
2013-05,59
2013-06,55
2013-07,56
2013-08,59
2013-09,57
2013-10,61
2013-11,57
2013-12,48
2014-01,55
2014-02,57
2014-03,59
2014-04,62
2014-05,59
2014-06,61
2014-07,62
2014-08,56
2014-09,61
2014-10,63
2014-11,58
2014-12,51
2015-01,57
2015-02,58
2015-03,62
2015-04,64
2015-05,62
2015-06,65
2015-07,67
2015-08,64
2015-09,65
2015-10,65
2015-11,62
2015-12,58
2016-01,60
2016-02,67
2016-03,67
2016-04,65
2016-05,66
2016-06,66
2016-07,63
2016-08,65
2016-09,64
2016-10,64
2016-11,60
2016-12,54
2017-01,64
2017-02,68
2017-03,68
2017-04,65
2017-05,73
2017-06,71
2017-07,64
2017-08,70
2017-09,65
2017-10,72
2017-11,70
2017-12,62
2018-01,68
2018-02,75
2018-03,72
2018-04,75
2018-05,72
2018-06,72
2018-07,74
2018-08,75
2018-09,74
2018-10,80
2018-11,70
2018-12,63
2019-01,75
2019-02,76
2019-03,78
2019-04,81
2019-05,77
2019-06,76
2019-07,72
2019-08,75
2019-09,76
2019-10,79
2019-11,76
2019-12,66
2020-01,76
2020-02,82
2020-03,59
2020-04,39
2020-05,49
2020-06,63
2020-07,68
2020-08,69
2020-09,71
2020-10,80
2020-11,64
2020-12,64
2021-01,66
2021-02,70
2021-03,76
2021-04,81
2021-05,75
2021-06,76
2021-07,73
2021-08,72
2021-09,77
2021-10,76
2021-11,76
2021-12,68
2022-01,75
2022-02,85
2022-03,92
2022-04,85
2022-05,78
2022-06,82
2022-07,79
2022-08,83
2022-09,77
2022-10,82
2022-11,77
2022-12,71
2023-01,81
2023-02,89
2023-03,91
2023-04,90
2023-05,86
2023-06,91
2023-07,78
2023-08,89
2023-09,83
2023-10,85
2023-11,79
2023-12,74
2024-01,80
2024-02,93
2024-03,94
2024-04,93
2024-05,91
2024-06,91
2024-07,89
2024-08,91
2024-09,92
2024-10,100
2024-11,92
