Category: All categories

Month,lesion: (United States)
2004-01,54
2004-02,49
2004-03,55
2004-04,56
2004-05,52
2004-06,51
2004-07,60
2004-08,55
2004-09,56
2004-10,53
2004-11,55
2004-12,53
2005-01,51
2005-02,56
2005-03,56
2005-04,60
2005-05,54
2005-06,58
2005-07,52
2005-08,57
2005-09,53
2005-10,57
2005-11,54
2005-12,48
2006-01,52
2006-02,54
2006-03,55
2006-04,54
2006-05,56
2006-06,55
2006-07,53
2006-08,55
2006-09,51
2006-10,54
2006-11,52
2006-12,48
2007-01,52
2007-02,52
2007-03,48
2007-04,50
2007-05,57
2007-06,53
2007-07,54
2007-08,54
2007-09,57
2007-10,58
2007-11,55
2007-12,45
2008-01,51
2008-02,55
2008-03,59
2008-04,59
2008-05,57
2008-06,58
2008-07,59
2008-08,57
2008-09,58
2008-10,59
2008-11,56
2008-12,50
2009-01,50
2009-02,59
2009-03,60
2009-04,64
2009-05,61
2009-06,57
2009-07,56
2009-08,57
2009-09,62
2009-10,60
2009-11,53
2009-12,50
2010-01,51
2010-02,57
2010-03,60
2010-04,58
2010-05,56
2010-06,66
2010-07,46
2010-08,52
2010-09,61
2010-10,53
2010-11,51
2010-12,45
2011-01,41
2011-02,49
2011-03,52
2011-04,49
2011-05,48
2011-06,48
2011-07,47
2011-08,44
2011-09,51
2011-10,52
2011-11,49
2011-12,43
2012-01,47
2012-02,54
2012-03,52
2012-04,56
2012-05,53
2012-06,49
2012-07,48
2012-08,54
2012-09,55
2012-10,59
2012-11,54
2012-12,45
2013-01,51
2013-02,54
2013-03,53
2013-04,60
2013-05,54
2013-06,54
2013-07,54
2013-08,54
2013-09,56
2013-10,62
2013-11,54
2013-12,48
2014-01,57
2014-02,58
2014-03,58
2014-04,62
2014-05,61
2014-06,67
2014-07,64
2014-08,60
2014-09,61
2014-10,65
2014-11,52
2014-12,52
2015-01,54
2015-02,57
2015-03,62
2015-04,63
2015-05,61
2015-06,64
2015-07,66
2015-08,63
2015-09,69
2015-10,68
2015-11,64
2015-12,58
2016-01,54
2016-02,66
2016-03,66
2016-04,68
2016-05,61
2016-06,62
2016-07,59
2016-08,61
2016-09,62
2016-10,64
2016-11,59
2016-12,51
2017-01,58
2017-02,66
2017-03,68
2017-04,67
2017-05,63
2017-06,65
2017-07,63
2017-08,66
2017-09,68
2017-10,72
2017-11,69
2017-12,60
2018-01,65
2018-02,69
2018-03,71
2018-04,69
2018-05,70
2018-06,69
2018-07,74
2018-08,72
2018-09,69
2018-10,80
2018-11,68
2018-12,63
2019-01,67
2019-02,70
2019-03,71
2019-04,75
2019-05,75
2019-06,76
2019-07,70
2019-08,70
2019-09,80
2019-10,79
2019-11,71
2019-12,66
2020-01,70
2020-02,75
2020-03,56
2020-04,48
2020-05,52
2020-06,63
2020-07,66
2020-08,65
2020-09,74
2020-10,79
2020-11,63
2020-12,62
2021-01,61
2021-02,75
2021-03,75
2021-04,77
2021-05,71
2021-06,77
2021-07,71
2021-08,71
2021-09,76
2021-10,76
2021-11,74
2021-12,67
2022-01,74
2022-02,87
2022-03,89
2022-04,84
2022-05,79
2022-06,78
2022-07,78
2022-08,84
2022-09,82
2022-10,84
2022-11,80
2022-12,76
2023-01,80
2023-02,88
2023-03,93
2023-04,84
2023-05,82
2023-06,88
2023-07,85
2023-08,90
2023-09,93
2023-10,94
2023-11,85
2023-12,79
2024-01,83
2024-02,99
2024-03,97
2024-04,99
2024-05,93
2024-06,92
2024-07,91
2024-08,89
2024-09,96
2024-10,100
2024-11,89
