Category: All categories

Month,Membrane: (United States)
2004-01,30
2004-02,32
2004-03,27
2004-04,29
2004-05,25
2004-06,21
2004-07,21
2004-08,20
2004-09,40
2004-10,49
2004-11,41
2004-12,29
2005-01,28
2005-02,35
2005-03,27
2005-04,26
2005-05,24
2005-06,22
2005-07,21
2005-08,19
2005-09,38
2005-10,43
2005-11,38
2005-12,26
2006-01,27
2006-02,32
2006-03,28
2006-04,25
2006-05,23
2006-06,20
2006-07,18
2006-08,18
2006-09,34
2006-10,41
2006-11,33
2006-12,24
2007-01,23
2007-02,27
2007-03,23
2007-04,21
2007-05,21
2007-06,19
2007-07,17
2007-08,18
2007-09,34
2007-10,44
2007-11,34
2007-12,25
2008-01,26
2008-02,27
2008-03,24
2008-04,23
2008-05,21
2008-06,17
2008-07,18
2008-08,18
2008-09,38
2008-10,46
2008-11,37
2008-12,28
2009-01,25
2009-02,34
2009-03,26
2009-04,24
2009-05,20
2009-06,20
2009-07,19
2009-08,18
2009-09,42
2009-10,50
2009-11,41
2009-12,29
2010-01,29
2010-02,37
2010-03,32
2010-04,28
2010-05,23
2010-06,22
2010-07,16
2010-08,17
2010-09,42
2010-10,50
2010-11,39
2010-12,27
2011-01,32
2011-02,38
2011-03,32
2011-04,28
2011-05,26
2011-06,22
2011-07,18
2011-08,20
2011-09,51
2011-10,58
2011-11,46
2011-12,32
2012-01,35
2012-02,43
2012-03,32
2012-04,30
2012-05,27
2012-06,20
2012-07,17
2012-08,19
2012-09,55
2012-10,61
2012-11,48
2012-12,33
2013-01,36
2013-02,44
2013-03,32
2013-04,32
2013-05,27
2013-06,21
2013-07,19
2013-08,20
2013-09,61
2013-10,68
2013-11,51
2013-12,38
2014-01,39
2014-02,48
2014-03,36
2014-04,36
2014-05,31
2014-06,23
2014-07,20
2014-08,20
2014-09,72
2014-10,77
2014-11,53
2014-12,40
2015-01,41
2015-02,48
2015-03,40
2015-04,36
2015-05,31
2015-06,24
2015-07,19
2015-08,23
2015-09,72
2015-10,81
2015-11,63
2015-12,46
2016-01,45
2016-02,54
2016-03,41
2016-04,38
2016-05,32
2016-06,25
2016-07,19
2016-08,25
2016-09,72
2016-10,82
2016-11,60
2016-12,43
2017-01,45
2017-02,56
2017-03,42
2017-04,38
2017-05,36
2017-06,25
2017-07,20
2017-08,26
2017-09,69
2017-10,84
2017-11,61
2017-12,44
2018-01,45
2018-02,55
2018-03,42
2018-04,38
2018-05,34
2018-06,24
2018-07,21
2018-08,28
2018-09,76
2018-10,86
2018-11,60
2018-12,47
2019-01,46
2019-02,56
2019-03,44
2019-04,39
2019-05,34
2019-06,27
2019-07,22
2019-08,28
2019-09,74
2019-10,81
2019-11,54
2019-12,42
2020-01,45
2020-02,55
2020-03,40
2020-04,45
2020-05,35
2020-06,29
2020-07,26
2020-08,29
2020-09,94
2020-10,83
2020-11,50
2020-12,39
2021-01,41
2021-02,54
2021-03,42
2021-04,39
2021-05,33
2021-06,27
2021-07,24
2021-08,27
2021-09,67
2021-10,59
2021-11,46
2021-12,34
2022-01,44
2022-02,65
2022-03,54
2022-04,49
2022-05,44
2022-06,31
2022-07,27
2022-08,34
2022-09,85
2022-10,86
2022-11,67
2022-12,51
2023-01,53
2023-02,69
2023-03,50
2023-04,46
2023-05,42
2023-06,33
2023-07,27
2023-08,35
2023-09,95
2023-10,94
2023-11,67
2023-12,52
2024-01,57
2024-02,72
2024-03,50
2024-04,52
2024-05,43
2024-06,33
2024-07,29
2024-08,38
2024-09,100
2024-10,95
2024-11,68
