Category: All categories

Month,neutrophils: (United States)
2004-01,14
2004-02,18
2004-03,18
2004-04,17
2004-05,15
2004-06,12
2004-07,12
2004-08,14
2004-09,22
2004-10,16
2004-11,18
2004-12,18
2005-01,16
2005-02,17
2005-03,17
2005-04,20
2005-05,20
2005-06,16
2005-07,17
2005-08,19
2005-09,18
2005-10,18
2005-11,21
2005-12,15
2006-01,16
2006-02,20
2006-03,22
2006-04,19
2006-05,18
2006-06,19
2006-07,17
2006-08,18
2006-09,20
2006-10,19
2006-11,18
2006-12,14
2007-01,19
2007-02,22
2007-03,18
2007-04,19
2007-05,20
2007-06,18
2007-07,18
2007-08,19
2007-09,20
2007-10,22
2007-11,21
2007-12,17
2008-01,18
2008-02,22
2008-03,22
2008-04,21
2008-05,17
2008-06,19
2008-07,19
2008-08,18
2008-09,21
2008-10,23
2008-11,20
2008-12,19
2009-01,17
2009-02,24
2009-03,24
2009-04,25
2009-05,20
2009-06,22
2009-07,20
2009-08,20
2009-09,25
2009-10,24
2009-11,23
2009-12,19
2010-01,20
2010-02,26
2010-03,25
2010-04,25
2010-05,23
2010-06,20
2010-07,20
2010-08,18
2010-09,24
2010-10,24
2010-11,24
2010-12,19
2011-01,21
2011-02,27
2011-03,27
2011-04,26
2011-05,22
2011-06,24
2011-07,21
2011-08,21
2011-09,26
2011-10,27
2011-11,23
2011-12,19
2012-01,22
2012-02,29
2012-03,27
2012-04,28
2012-05,25
2012-06,21
2012-07,21
2012-08,21
2012-09,27
2012-10,28
2012-11,24
2012-12,20
2013-01,23
2013-02,29
2013-03,29
2013-04,30
2013-05,26
2013-06,22
2013-07,23
2013-08,23
2013-09,29
2013-10,30
2013-11,27
2013-12,22
2014-01,24
2014-02,31
2014-03,29
2014-04,31
2014-05,27
2014-06,26
2014-07,27
2014-08,26
2014-09,32
2014-10,32
2014-11,28
2014-12,24
2015-01,27
2015-02,32
2015-03,32
2015-04,34
2015-05,29
2015-06,27
2015-07,28
2015-08,29
2015-09,36
2015-10,33
2015-11,31
2015-12,26
2016-01,27
2016-02,35
2016-03,34
2016-04,32
2016-05,29
2016-06,28
2016-07,28
2016-08,27
2016-09,32
2016-10,33
2016-11,27
2016-12,29
2017-01,30
2017-02,37
2017-03,36
2017-04,35
2017-05,33
2017-06,31
2017-07,32
2017-08,31
2017-09,33
2017-10,36
2017-11,33
2017-12,30
2018-01,33
2018-02,38
2018-03,42
2018-04,38
2018-05,35
2018-06,38
2018-07,36
2018-08,37
2018-09,39
2018-10,39
2018-11,38
2018-12,32
2019-01,38
2019-02,44
2019-03,43
2019-04,45
2019-05,38
2019-06,38
2019-07,38
2019-08,36
2019-09,44
2019-10,47
2019-11,42
2019-12,35
2020-01,45
2020-02,53
2020-03,42
2020-04,36
2020-05,37
2020-06,45
2020-07,42
2020-08,42
2020-09,52
2020-10,58
2020-11,42
2020-12,40
2021-01,42
2021-02,54
2021-03,57
2021-04,59
2021-05,55
2021-06,53
2021-07,56
2021-08,57
2021-09,57
2021-10,59
2021-11,58
2021-12,47
2022-01,67
2022-02,83
2022-03,88
2022-04,81
2022-05,70
2022-06,69
2022-07,69
2022-08,71
2022-09,74
2022-10,81
2022-11,75
2022-12,71
2023-01,78
2023-02,93
2023-03,94
2023-04,89
2023-05,87
2023-06,90
2023-07,78
2023-08,84
2023-09,84
2023-10,91
2023-11,85
2023-12,81
2024-01,87
2024-02,100
2024-03,98
2024-04,99
2024-05,91
2024-06,88
2024-07,85
2024-08,83
2024-09,90
2024-10,93
2024-11,91
