Category: All categories

Month,Gastroesophageal reflux disease: (United States)
2004-01,41
2004-02,38
2004-03,39
2004-04,38
2004-05,38
2004-06,38
2004-07,41
2004-08,42
2004-09,44
2004-10,46
2004-11,48
2004-12,40
2005-01,44
2005-02,46
2005-03,43
2005-04,43
2005-05,41
2005-06,42
2005-07,43
2005-08,47
2005-09,40
2005-10,40
2005-11,40
2005-12,37
2006-01,42
2006-02,43
2006-03,42
2006-04,40
2006-05,35
2006-06,38
2006-07,39
2006-08,42
2006-09,40
2006-10,39
2006-11,37
2006-12,37
2007-01,41
2007-02,38
2007-03,38
2007-04,39
2007-05,35
2007-06,34
2007-07,36
2007-08,38
2007-09,39
2007-10,44
2007-11,39
2007-12,35
2008-01,42
2008-02,41
2008-03,41
2008-04,40
2008-05,40
2008-06,38
2008-07,40
2008-08,42
2008-09,40
2008-10,40
2008-11,40
2008-12,38
2009-01,41
2009-02,41
2009-03,42
2009-04,41
2009-05,43
2009-06,42
2009-07,44
2009-08,43
2009-09,41
2009-10,45
2009-11,44
2009-12,40
2010-01,45
2010-02,46
2010-03,45
2010-04,43
2010-05,42
2010-06,41
2010-07,42
2010-08,42
2010-09,43
2010-10,42
2010-11,43
2010-12,39
2011-01,47
2011-02,47
2011-03,47
2011-04,48
2011-05,44
2011-06,44
2011-07,45
2011-08,46
2011-09,47
2011-10,50
2011-11,49
2011-12,46
2012-01,53
2012-02,53
2012-03,52
2012-04,51
2012-05,47
2012-06,50
2012-07,52
2012-08,48
2012-09,50
2012-10,52
2012-11,52
2012-12,46
2013-01,53
2013-02,53
2013-03,53
2013-04,53
2013-05,48
2013-06,51
2013-07,52
2013-08,51
2013-09,52
2013-10,52
2013-11,51
2013-12,50
2014-01,55
2014-02,52
2014-03,56
2014-04,54
2014-05,52
2014-06,54
2014-07,56
2014-08,52
2014-09,53
2014-10,52
2014-11,54
2014-12,57
2015-01,57
2015-02,54
2015-03,57
2015-04,53
2015-05,53
2015-06,55
2015-07,56
2015-08,56
2015-09,55
2015-10,56
2015-11,57
2015-12,56
2016-01,59
2016-02,63
2016-03,61
2016-04,59
2016-05,60
2016-06,57
2016-07,60
2016-08,58
2016-09,63
2016-10,58
2016-11,59
2016-12,61
2017-01,65
2017-02,67
2017-03,66
2017-04,66
2017-05,64
2017-06,64
2017-07,66
2017-08,68
2017-09,66
2017-10,68
2017-11,64
2017-12,64
2018-01,73
2018-02,76
2018-03,77
2018-04,74
2018-05,68
2018-06,72
2018-07,74
2018-08,72
2018-09,70
2018-10,74
2018-11,71
2018-12,73
2019-01,79
2019-02,78
2019-03,77
2019-04,79
2019-05,77
2019-06,72
2019-07,75
2019-08,75
2019-09,74
2019-10,77
2019-11,78
2019-12,77
2020-01,83
2020-02,81
2020-03,77
2020-04,86
2020-05,87
2020-06,82
2020-07,90
2020-08,82
2020-09,81
2020-10,89
2020-11,84
2020-12,92
2021-01,93
2021-02,90
2021-03,89
2021-04,84
2021-05,81
2021-06,82
2021-07,82
2021-08,86
2021-09,82
2021-10,82
2021-11,84
2021-12,83
2022-01,95
2022-02,96
2022-03,88
2022-04,85
2022-05,82
2022-06,82
2022-07,88
2022-08,85
2022-09,80
2022-10,86
2022-11,81
2022-12,84
2023-01,94
2023-02,98
2023-03,94
2023-04,94
2023-05,90
2023-06,90
2023-07,87
2023-08,87
2023-09,85
2023-10,86
2023-11,94
2023-12,89
2024-01,96
2024-02,100
2024-03,93
2024-04,89
2024-05,87
2024-06,84
2024-07,92
2024-08,91
2024-09,88
2024-10,94
2024-11,94
