Category: All categories

Month,remission: (United States)
2004-01,27
2004-02,16
2004-03,22
2004-04,19
2004-05,26
2004-06,24
2004-07,31
2004-08,20
2004-09,29
2004-10,23
2004-11,16
2004-12,24
2005-01,22
2005-02,22
2005-03,20
2005-04,27
2005-05,23
2005-06,23
2005-07,25
2005-08,24
2005-09,21
2005-10,20
2005-11,22
2005-12,25
2006-01,22
2006-02,21
2006-03,26
2006-04,26
2006-05,26
2006-06,18
2006-07,28
2006-08,24
2006-09,23
2006-10,24
2006-11,19
2006-12,21
2007-01,23
2007-02,24
2007-03,25
2007-04,27
2007-05,26
2007-06,25
2007-07,25
2007-08,25
2007-09,27
2007-10,27
2007-11,29
2007-12,25
2008-01,28
2008-02,26
2008-03,26
2008-04,31
2008-05,26
2008-06,26
2008-07,28
2008-08,31
2008-09,26
2008-10,30
2008-11,29
2008-12,28
2009-01,26
2009-02,30
2009-03,30
2009-04,31
2009-05,29
2009-06,28
2009-07,28
2009-08,31
2009-09,31
2009-10,29
2009-11,29
2009-12,29
2010-01,31
2010-02,30
2010-03,30
2010-04,32
2010-05,31
2010-06,30
2010-07,26
2010-08,29
2010-09,30
2010-10,31
2010-11,32
2010-12,32
2011-01,36
2011-02,37
2011-03,37
2011-04,36
2011-05,34
2011-06,35
2011-07,33
2011-08,35
2011-09,39
2011-10,37
2011-11,37
2011-12,34
2012-01,37
2012-02,38
2012-03,37
2012-04,43
2012-05,39
2012-06,37
2012-07,38
2012-08,41
2012-09,42
2012-10,40
2012-11,39
2012-12,37
2013-01,41
2013-02,41
2013-03,41
2013-04,44
2013-05,40
2013-06,40
2013-07,38
2013-08,44
2013-09,47
2013-10,47
2013-11,53
2013-12,42
2014-01,44
2014-02,46
2014-03,57
2014-04,52
2014-05,48
2014-06,51
2014-07,45
2014-08,45
2014-09,48
2014-10,48
2014-11,43
2014-12,42
2015-01,45
2015-02,44
2015-03,51
2015-04,51
2015-05,48
2015-06,45
2015-07,50
2015-08,46
2015-09,47
2015-10,54
2015-11,49
2015-12,47
2016-01,48
2016-02,53
2016-03,53
2016-04,49
2016-05,45
2016-06,46
2016-07,46
2016-08,45
2016-09,46
2016-10,45
2016-11,45
2016-12,43
2017-01,45
2017-02,46
2017-03,45
2017-04,52
2017-05,50
2017-06,46
2017-07,48
2017-08,50
2017-09,43
2017-10,49
2017-11,55
2017-12,50
2018-01,50
2018-02,53
2018-03,52
2018-04,50
2018-05,47
2018-06,52
2018-07,49
2018-08,49
2018-09,49
2018-10,53
2018-11,49
2018-12,44
2019-01,53
2019-02,100
2019-03,59
2019-04,54
2019-05,62
2019-06,55
2019-07,53
2019-08,52
2019-09,55
2019-10,54
2019-11,53
2019-12,48
2020-01,52
2020-02,50
2020-03,49
2020-04,45
2020-05,41
2020-06,41
2020-07,47
2020-08,43
2020-09,47
2020-10,48
2020-11,43
2020-12,43
2021-01,42
2021-02,51
2021-03,55
2021-04,47
2021-05,53
2021-06,47
2021-07,42
2021-08,51
2021-09,48
2021-10,54
2021-11,47
2021-12,47
2022-01,54
2022-02,54
2022-03,58
2022-04,63
2022-05,55
2022-06,68
2022-07,52
2022-08,58
2022-09,57
2022-10,57
2022-11,58
2022-12,54
2023-01,60
2023-02,63
2023-03,62
2023-04,64
2023-05,59
2023-06,60
2023-07,57
2023-08,58
2023-09,63
2023-10,66
2023-11,58
2023-12,54
2024-01,57
2024-02,66
2024-03,63
2024-04,67
2024-05,64
2024-06,56
2024-07,60
2024-08,61
2024-09,68
2024-10,72
2024-11,71
