Category: All categories

Month,savant syndrome: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,14
2005-02,18
2005-03,21
2005-04,0
2005-05,18
2005-06,0
2005-07,0
2005-08,13
2005-09,0
2005-10,11
2005-11,14
2005-12,0
2006-01,0
2006-02,9
2006-03,13
2006-04,0
2006-05,11
2006-06,0
2006-07,0
2006-08,0
2006-09,8
2006-10,14
2006-11,17
2006-12,11
2007-01,16
2007-02,13
2007-03,24
2007-04,16
2007-05,11
2007-06,0
2007-07,5
2007-08,0
2007-09,11
2007-10,14
2007-11,16
2007-12,10
2008-01,8
2008-02,10
2008-03,8
2008-04,14
2008-05,9
2008-06,7
2008-07,7
2008-08,8
2008-09,7
2008-10,17
2008-11,22
2008-12,12
2009-01,11
2009-02,19
2009-03,17
2009-04,17
2009-05,15
2009-06,8
2009-07,8
2009-08,6
2009-09,9
2009-10,17
2009-11,17
2009-12,20
2010-01,9
2010-02,14
2010-03,16
2010-04,17
2010-05,12
2010-06,9
2010-07,5
2010-08,6
2010-09,5
2010-10,8
2010-11,13
2010-12,10
2011-01,9
2011-02,17
2011-03,13
2011-04,13
2011-05,11
2011-06,9
2011-07,8
2011-08,5
2011-09,6
2011-10,12
2011-11,14
2011-12,10
2012-01,9
2012-02,12
2012-03,13
2012-04,14
2012-05,12
2012-06,11
2012-07,8
2012-08,7
2012-09,7
2012-10,11
2012-11,13
2012-12,10
2013-01,8
2013-02,13
2013-03,12
2013-04,11
2013-05,12
2013-06,5
2013-07,7
2013-08,10
2013-09,9
2013-10,14
2013-11,15
2013-12,9
2014-01,14
2014-02,11
2014-03,14
2014-04,23
2014-05,16
2014-06,8
2014-07,7
2014-08,7
2014-09,8
2014-10,10
2014-11,13
2014-12,14
2015-01,16
2015-02,16
2015-03,19
2015-04,16
2015-05,13
2015-06,12
2015-07,6
2015-08,9
2015-09,8
2015-10,11
2015-11,12
2015-12,11
2016-01,9
2016-02,11
2016-03,13
2016-04,9
2016-05,9
2016-06,5
2016-07,5
2016-08,6
2016-09,6
2016-10,11
2016-11,8
2016-12,11
2017-01,9
2017-02,11
2017-03,15
2017-04,13
2017-05,19
2017-06,7
2017-07,8
2017-08,12
2017-09,100
2017-10,94
2017-11,58
2017-12,47
2018-01,51
2018-02,38
2018-03,41
2018-04,30
2018-05,23
2018-06,16
2018-07,15
2018-08,15
2018-09,33
2018-10,33
2018-11,28
2018-12,24
2019-01,22
2019-02,26
2019-03,29
2019-04,21
2019-05,17
2019-06,14
2019-07,12
2019-08,12
2019-09,18
2019-10,30
2019-11,26
2019-12,28
2020-01,30
2020-02,28
2020-03,24
2020-04,28
2020-05,22
2020-06,15
2020-07,16
2020-08,16
2020-09,15
2020-10,18
2020-11,22
2020-12,20
2021-01,24
2021-02,28
2021-03,26
2021-04,23
2021-05,21
2021-06,15
2021-07,17
2021-08,16
2021-09,18
2021-10,19
2021-11,20
2021-12,16
2022-01,21
2022-02,20
2022-03,24
2022-04,27
2022-05,23
2022-06,17
2022-07,18
2022-08,18
2022-09,18
2022-10,27
2022-11,22
2022-12,26
2023-01,22
2023-02,26
2023-03,34
2023-04,29
2023-05,48
2023-06,28
2023-07,22
2023-08,22
2023-09,24
2023-10,22
2023-11,22
2023-12,23
2024-01,23
2024-02,32
2024-03,26
2024-04,25
2024-05,31
2024-06,25
2024-07,19
2024-08,17
2024-09,18
2024-10,24
2024-11,26
