Date,EmergencyNYC,Average,IMDbRating,#Season,TotalSeason,Mean,Median,Quantile
2023-03-26,67,77.8695652173913,0.82,1,1,high,high,high
2023-04-02,100,68.65217391304348,0.82,0,1,high,high,normal
2023-04-09,43,68.43478260869566,0.82,0,1,high,high,normal
2023-04-16,25,73.91304347826087,0.82,0,1,high,high,high
2023-04-23,16,70.1304347826087,0.82,0,1,high,high,normal
2023-04-30,12,71.0,0.82,0,1,high,high,high
2023-05-07,9,68.0,0.82,0,1,high,high,normal
2023-05-14,8,62.95652173913044,0.82,0,1,low,low,low
2023-05-21,6,63.391304347826086,0.82,0,1,low,low,low
2023-05-28,7,64.0,0.82,0,1,low,low,low
2023-06-04,6,63.47826086956522,0.82,0,1,low,low,low
2023-06-11,5,66.91304347826087,0.82,0,1,low,low,normal
2023-06-18,5,64.1304347826087,0.82,0,1,low,low,normal
2023-06-25,5,62.65217391304348,0.82,0,1,low,low,low
2023-07-02,6,62.608695652173914,0.82,0,1,low,low,low
2023-07-09,5,69.91304347826087,0.82,0,1,high,high,normal
2023-07-16,5,64.52173913043478,0.82,0,1,low,low,normal
2023-07-23,5,70.95652173913044,0.82,0,1,high,high,high
2023-07-30,4,62.30434782608695,0.82,0,1,low,low,low
2023-08-06,3,68.1304347826087,0.82,0,1,high,high,normal
2023-08-13,4,63.26086956521739,0.82,0,1,low,low,low
2023-08-20,4,63.17391304347826,0.82,0,1,low,low,low
2023-08-27,0,63.26086956521739,0.82,0,1,low,low,low
2023-09-03,3,66.21739130434783,0.82,0,1,low,low,normal
2023-09-10,2,65.0,0.82,0,1,low,low,normal
2023-09-17,3,67.08695652173913,0.82,0,1,low,low,normal
2023-09-24,8,68.08695652173913,0.82,0,1,high,high,normal
2023-10-01,4,64.04347826086956,0.82,0,1,low,low,low
2023-10-08,2,67.6086956521739,0.82,0,1,low,high,normal
2023-10-15,2,71.91304347826087,0.82,0,1,high,high,high
2023-10-22,4,68.52173913043478,0.82,0,1,high,high,normal
2023-10-29,2,72.8695652173913,0.82,0,1,high,high,high
2023-11-05,2,65.34782608695652,0.82,0,1,low,low,normal
2023-11-12,4,72.69565217391305,0.82,0,1,high,high,high
2023-11-19,0,58.869565217391305,0.82,0,1,low,low,low
2023-11-26,0,66.73913043478261,0.82,0,1,low,low,normal
2023-12-03,0,70.82608695652173,0.82,0,1,high,high,normal
2023-12-10,2,63.04347826086956,0.82,0,1,low,low,low
2023-12-17,2,57.08695652173913,0.82,0,1,low,low,low
2023-12-24,4,53.608695652173914,0.82,0,1,low,low,low
2023-12-31,3,59.52173913043478,0.82,0,1,low,low,low
2024-01-07,4,67.43478260869566,0.82,0,1,low,low,normal
2024-01-14,0,66.47826086956522,0.82,0,1,low,low,normal
2024-01-21,0,72.52173913043478,0.82,0,1,high,high,high
2024-01-28,0,69.08695652173913,0.82,0,1,high,high,normal
2024-02-04,4,71.69565217391305,0.82,0,1,high,high,high
2024-02-11,3,67.0,0.82,0,1,low,low,normal
2024-02-18,0,72.65217391304348,0.82,0,1,high,high,high
2024-02-25,3,78.8695652173913,0.82,0,1,high,high,high
2024-03-03,0,69.30434782608695,0.82,0,1,high,high,normal
2024-03-10,2,75.82608695652173,0.82,0,1,high,high,high
2024-03-17,0,75.8695652173913,0.82,0,1,high,high,high
2024-03-24,0,69.95652173913044,0.82,0,1,high,high,normal
2024-03-31,0,68.69565217391305,0.82,0,1,high,high,normal
2024-04-07,0,73.0,0.82,0,1,high,high,high
2024-04-14,0,72.43478260869566,0.82,0,1,high,high,high
2024-04-21,2,75.0,0.82,0,1,high,high,high
2024-04-28,0,68.34782608695652,0.82,0,1,high,high,normal
2024-05-05,0,68.91304347826087,0.82,0,1,high,high,normal
2024-05-12,2,65.52173913043478,0.82,0,1,low,low,normal
2024-05-19,0,63.869565217391305,0.82,0,1,low,low,low
2024-05-26,0,58.34782608695652,0.82,0,1,low,low,low
2024-06-02,0,67.30434782608695,0.82,0,1,low,low,normal
2024-06-09,0,64.78260869565217,0.82,0,1,low,low,normal
2024-06-16,3,63.04347826086956,0.82,0,1,low,low,low
2024-06-23,0,71.04347826086956,0.82,0,1,high,high,high
2024-06-30,0,60.21739130434783,0.82,0,1,low,low,low
2024-07-07,0,68.17391304347827,0.82,0,1,high,high,normal
2024-07-14,2,66.04347826086956,0.82,0,1,low,low,normal
2024-07-21,0,66.73913043478261,0.82,0,1,low,low,normal
2024-07-28,0,62.73913043478261,0.82,0,1,low,low,low
2024-08-04,0,66.78260869565217,0.82,0,1,low,low,normal
2024-08-11,0,66.04347826086956,0.82,0,1,low,low,normal
2024-08-18,0,67.43478260869566,0.82,0,1,low,low,normal
2024-08-25,0,67.04347826086956,0.82,0,1,low,low,normal
2024-09-01,0,68.91304347826087,0.82,0,1,high,high,normal
2024-09-08,0,74.47826086956522,0.82,0,1,high,high,high
2024-09-15,0,70.21739130434783,0.82,0,1,high,high,normal
2024-09-22,0,69.6086956521739,0.82,0,1,high,high,normal
2024-09-29,0,67.34782608695652,0.82,0,1,low,low,normal
2024-10-06,0,66.26086956521739,0.82,0,1,low,low,normal
2024-10-13,0,74.95652173913044,0.82,0,1,high,high,high
2024-10-20,0,76.65217391304348,0.82,0,1,high,high,high
2024-10-27,0,74.30434782608695,0.82,0,1,high,high,high
2024-11-03,0,63.04347826086956,0.82,0,1,low,low,low
2024-11-10,0,69.69565217391305,0.82,0,1,high,high,normal
2024-11-17,1,72.04347826086956,0.82,0,1,high,high,high
2024-11-24,1,65.17391304347827,0.82,0,1,low,low,normal
