Date,TheGoodDoctor,Average,IMDbRating,#Season,TotalSeason,Mean,Median,Quantile
2017-09-01,49,53.869565217391305,0.8,1,7,low,high,normal
2017-10-01,100,58.608695652173914,0.8,1,7,high,high,normal
2017-11-01,60,48.26086956521739,0.8,1,7,low,low,normal
2017-12-01,47,44.56521739130435,0.8,1,7,low,low,low
2018-01-01,71,52.04347826086956,0.8,1,7,low,low,normal
2018-02-01,48,54.82608695652174,0.8,1,7,low,high,normal
2018-03-01,60,48.95652173913044,0.8,1,7,low,low,normal
2018-04-01,32,48.65217391304348,0.8,0,7,low,low,normal
2018-05-01,17,47.608695652173914,0.8,0,7,low,low,low
2018-06-01,13,46.47826086956522,0.8,0,7,low,low,low
2018-07-01,15,45.91304347826087,0.8,0,7,low,low,low
2018-08-01,20,47.17391304347826,0.8,0,7,low,low,low
2018-09-01,67,47.391304347826086,0.8,2,7,low,low,low
2018-10-01,63,49.56521739130435,0.8,2,7,low,low,normal
2018-11-01,39,46.0,0.8,2,7,low,low,low
2018-12-01,35,42.43478260869565,0.8,2,7,low,low,low
2019-01-01,46,47.608695652173914,0.8,2,7,low,low,low
2019-02-01,48,51.0,0.8,2,7,low,low,normal
2019-03-01,51,48.91304347826087,0.8,2,7,low,low,normal
2019-04-01,21,49.17391304347826,0.8,0,7,low,low,normal
2019-05-01,15,48.08695652173913,0.8,0,7,low,low,normal
2019-06-01,14,43.608695652173914,0.8,0,7,low,low,low
2019-07-01,13,47.130434782608695,0.8,0,7,low,low,low
2019-08-01,13,45.391304347826086,0.8,0,7,low,low,low
2019-09-01,32,48.65217391304348,0.8,3,7,low,low,normal
2019-10-01,50,49.0,0.8,3,7,low,low,normal
2019-11-01,45,45.95652173913044,0.8,3,7,low,low,low
2019-12-01,32,42.17391304347826,0.8,3,7,low,low,low
2020-01-01,43,51.391304347826086,0.8,3,7,low,low,normal
2020-02-01,39,53.73913043478261,0.8,3,7,low,low,normal
2020-03-01,58,46.78260869565217,0.8,3,7,low,low,low
2020-04-01,49,45.65217391304348,0.8,0,7,low,low,low
2020-05-01,19,44.65217391304348,0.8,0,7,low,low,low
2020-06-01,15,42.34782608695652,0.8,0,7,low,low,low
2020-07-01,15,44.91304347826087,0.8,0,7,low,low,low
2020-08-01,16,47.65217391304348,0.8,0,7,low,low,low
2020-09-01,19,53.82608695652174,0.8,0,7,low,high,normal
2020-10-01,24,55.391304347826086,0.8,0,7,high,high,normal
2020-11-01,73,47.26086956521739,0.8,4,7,low,low,low
2020-12-01,46,46.69565217391305,0.8,4,7,low,low,low
2021-01-01,54,52.65217391304348,0.8,4,7,low,low,normal
2021-02-01,53,56.73913043478261,0.8,4,7,high,high,normal
2021-03-01,44,53.869565217391305,0.8,4,7,low,high,normal
2021-04-01,40,54.65217391304348,0.8,4,7,low,high,normal
2021-05-01,42,50.08695652173913,0.8,4,7,low,low,normal
2021-06-01,38,50.0,0.8,4,7,low,low,normal
2021-07-01,17,48.34782608695652,0.8,0,7,low,low,normal
2021-08-01,25,51.130434782608695,0.8,0,7,low,low,normal
2021-09-01,33,57.56521739130435,0.8,5,7,high,high,normal
2021-10-01,40,52.43478260869565,0.8,5,7,low,low,normal
2021-11-01,38,50.65217391304348,0.8,5,7,low,low,normal
2021-12-01,22,48.08695652173913,0.8,5,7,low,low,normal
2022-01-01,21,55.78260869565217,0.8,5,7,high,high,normal
2022-02-01,15,63.0,0.8,5,7,high,high,high
2022-03-01,28,61.30434782608695,0.8,5,7,high,high,high
2022-04-01,24,59.26086956521739,0.8,5,7,high,high,normal
2022-05-01,30,52.0,0.8,5,7,low,low,normal
2022-06-01,15,56.43478260869565,0.8,0,7,high,high,normal
2022-07-01,13,53.78260869565217,0.8,0,7,low,high,normal
2022-08-01,16,55.69565217391305,0.8,0,7,high,high,normal
2022-09-01,18,57.65217391304348,0.8,0,7,high,high,normal
2022-10-01,32,61.26086956521739,0.8,6,7,high,high,normal
2022-11-01,29,57.65217391304348,0.8,6,7,high,high,normal
2022-12-01,23,54.21739130434783,0.8,6,7,low,high,normal
2023-01-01,24,59.73913043478261,0.8,6,7,high,high,normal
2023-02-01,24,64.30434782608695,0.8,6,7,high,high,high
2023-03-01,27,67.8695652173913,0.8,6,7,high,high,high
2023-04-01,29,66.69565217391305,0.8,6,7,high,high,high
2023-05-01,44,65.78260869565217,0.8,6,7,high,high,high
2023-06-01,27,64.95652173913044,0.8,0,7,high,high,high
2023-07-01,20,60.34782608695652,0.8,0,7,high,high,normal
2023-08-01,17,63.56521739130435,0.8,0,7,high,high,high
2023-09-01,13,69.56521739130434,0.8,0,7,high,high,high
2023-10-01,13,71.78260869565217,0.8,0,7,high,high,high
2023-11-01,20,66.08695652173913,0.8,0,7,high,high,high
2023-12-01,9,61.04347826086956,0.8,0,7,high,high,normal
2024-01-01,15,70.08695652173913,0.8,0,7,high,high,high
2024-02-01,25,69.26086956521739,0.8,7,7,high,high,high
2024-03-01,22,69.1304347826087,0.8,7,7,high,high,high
2024-04-01,32,69.0,0.8,7,7,high,high,high
2024-05-01,34,66.08695652173913,0.8,7,7,high,high,high
2024-06-01,20,63.608695652173914,0.8,0,7,high,high,high
2024-07-01,17,63.73913043478261,0.8,0,7,high,high,high
2024-08-01,12,66.56521739130434,0.8,0,7,high,high,high
2024-09-01,10,68.82608695652173,0.8,0,7,high,high,high
2024-10-01,9,72.78260869565217,0.8,0,7,high,high,high
2024-11-01,8,67.30434782608695,0.8,0,7,high,high,high
