Date,lenoxHill,Average,IMDbRating,#Season,TotalSeason,Mean,Median,Quantile
2020-06-07,72,56.0,0.86,1,1,low,low,low
2020-06-14,100,58.73913043478261,0.86,0,1,low,low,low
2020-06-21,74,57.43478260869565,0.86,0,1,low,low,low
2020-06-28,62,53.43478260869565,0.86,0,1,low,low,low
2020-07-05,49,54.17391304347826,0.86,0,1,low,low,low
2020-07-12,44,57.391304347826086,0.86,0,1,low,low,low
2020-07-19,35,56.65217391304348,0.86,0,1,low,low,low
2020-07-26,30,60.65217391304348,0.86,0,1,low,low,normal
2020-08-02,25,55.04347826086956,0.86,0,1,low,low,low
2020-08-09,22,53.73913043478261,0.86,0,1,low,low,low
2020-08-16,22,52.04347826086956,0.86,0,1,low,low,low
2020-08-23,20,52.73913043478261,0.86,0,1,low,low,low
2020-08-30,20,55.73913043478261,0.86,0,1,low,low,low
2020-09-06,19,54.65217391304348,0.86,0,1,low,low,low
2020-09-13,16,56.21739130434783,0.86,0,1,low,low,low
2020-09-20,16,57.04347826086956,0.86,0,1,low,low,low
2020-09-27,16,56.869565217391305,0.86,0,1,low,low,low
2020-10-04,16,58.130434782608695,0.86,0,1,low,low,low
2020-10-11,16,60.0,0.86,0,1,low,low,normal
2020-10-18,16,60.130434782608695,0.86,0,1,low,low,normal
2020-10-25,15,57.608695652173914,0.86,0,1,low,low,low
2020-11-01,12,48.08695652173913,0.86,0,1,low,low,low
2020-11-08,15,57.91304347826087,0.86,0,1,low,low,low
2020-11-15,16,58.69565217391305,0.86,0,1,low,low,low
2020-11-22,13,49.391304347826086,0.86,0,1,low,low,low
2020-11-29,14,55.91304347826087,0.86,0,1,low,low,low
2020-12-06,15,57.43478260869565,0.86,0,1,low,low,low
2020-12-13,15,55.04347826086956,0.86,0,1,low,low,low
2020-12-20,14,43.95652173913044,0.86,0,1,low,low,low
2020-12-27,15,47.130434782608695,0.86,0,1,low,low,low
2021-01-03,17,51.95652173913044,0.86,0,1,low,low,low
2021-01-10,21,55.08695652173913,0.86,0,1,low,low,low
2021-01-17,18,55.95652173913044,0.86,0,1,low,low,low
2021-01-24,18,60.04347826086956,0.86,0,1,low,low,normal
2021-01-31,14,59.869565217391305,0.86,0,1,low,low,normal
2021-02-07,16,59.52173913043478,0.86,0,1,low,low,normal
2021-02-14,16,57.608695652173914,0.86,0,1,low,low,low
2021-02-21,16,61.82608695652174,0.86,0,1,high,high,normal
2021-02-28,17,61.73913043478261,0.86,0,1,high,low,normal
2021-03-07,15,59.91304347826087,0.86,0,1,low,low,normal
2021-03-14,17,54.26086956521739,0.86,0,1,low,low,low
2021-03-21,16,57.47826086956522,0.86,0,1,low,low,low
2021-03-28,17,57.130434782608695,0.86,0,1,low,low,low
2021-04-04,17,58.130434782608695,0.86,0,1,low,low,low
2021-04-11,16,61.21739130434783,0.86,0,1,low,low,normal
