Category: All categories

Month,acute: (United States)
2004-01,39
2004-02,42
2004-03,42
2004-04,44
2004-05,38
2004-06,37
2004-07,40
2004-08,40
2004-09,46
2004-10,42
2004-11,48
2004-12,41
2005-01,43
2005-02,49
2005-03,45
2005-04,47
2005-05,43
2005-06,40
2005-07,40
2005-08,39
2005-09,43
2005-10,45
2005-11,46
2005-12,40
2006-01,41
2006-02,45
2006-03,45
2006-04,47
2006-05,43
2006-06,39
2006-07,41
2006-08,37
2006-09,41
2006-10,44
2006-11,38
2006-12,33
2007-01,40
2007-02,42
2007-03,42
2007-04,38
2007-05,40
2007-06,37
2007-07,36
2007-08,35
2007-09,43
2007-10,47
2007-11,45
2007-12,36
2008-01,41
2008-02,47
2008-03,46
2008-04,49
2008-05,43
2008-06,36
2008-07,38
2008-08,37
2008-09,47
2008-10,45
2008-11,43
2008-12,39
2009-01,42
2009-02,52
2009-03,47
2009-04,47
2009-05,43
2009-06,39
2009-07,40
2009-08,39
2009-09,48
2009-10,51
2009-11,50
2009-12,41
2010-01,43
2010-02,51
2010-03,52
2010-04,50
2010-05,45
2010-06,40
2010-07,37
2010-08,38
2010-09,45
2010-10,46
2010-11,45
2010-12,40
2011-01,46
2011-02,55
2011-03,55
2011-04,52
2011-05,45
2011-06,40
2011-07,42
2011-08,40
2011-09,49
2011-10,51
2011-11,49
2011-12,39
2012-01,48
2012-02,54
2012-03,51
2012-04,51
2012-05,46
2012-06,43
2012-07,41
2012-08,45
2012-09,52
2012-10,53
2012-11,50
2012-12,46
2013-01,51
2013-02,57
2013-03,55
2013-04,56
2013-05,47
2013-06,43
2013-07,41
2013-08,43
2013-09,52
2013-10,56
2013-11,53
2013-12,48
2014-01,53
2014-02,59
2014-03,59
2014-04,61
2014-05,51
2014-06,49
2014-07,47
2014-08,47
2014-09,60
2014-10,63
2014-11,55
2014-12,51
2015-01,57
2015-02,61
2015-03,65
2015-04,68
2015-05,58
2015-06,54
2015-07,55
2015-08,53
2015-09,67
2015-10,71
2015-11,65
2015-12,58
2016-01,61
2016-02,69
2016-03,69
2016-04,69
2016-05,60
2016-06,57
2016-07,52
2016-08,54
2016-09,60
2016-10,69
2016-11,64
2016-12,56
2017-01,67
2017-02,78
2017-03,74
2017-04,73
2017-05,65
2017-06,56
2017-07,55
2017-08,53
2017-09,65
2017-10,71
2017-11,71
2017-12,60
2018-01,68
2018-02,80
2018-03,75
2018-04,83
2018-05,67
2018-06,61
2018-07,59
2018-08,64
2018-09,72
2018-10,85
2018-11,73
2018-12,64
2019-01,72
2019-02,79
2019-03,76
2019-04,80
2019-05,72
2019-06,65
2019-07,60
2019-08,60
2019-09,74
2019-10,79
2019-11,72
2019-12,66
2020-01,74
2020-02,81
2020-03,79
2020-04,79
2020-05,68
2020-06,59
2020-07,61
2020-08,64
2020-09,82
2020-10,73
2020-11,65
2020-12,64
2021-01,68
2021-02,73
2021-03,76
2021-04,75
2021-05,73
2021-06,66
2021-07,63
2021-08,65
2021-09,78
2021-10,77
2021-11,74
2021-12,67
2022-01,79
2022-02,92
2022-03,95
2022-04,94
2022-05,80
2022-06,72
2022-07,70
2022-08,72
2022-09,80
2022-10,85
2022-11,83
2022-12,77
2023-01,79
2023-02,90
2023-03,99
2023-04,88
2023-05,87
2023-06,75
2023-07,71
2023-08,74
2023-09,89
2023-10,92
2023-11,86
2023-12,87
2024-01,86
2024-02,96
2024-03,100
2024-04,95
2024-05,82
2024-06,81
2024-07,77
2024-08,84
2024-09,91
2024-10,93
2024-11,89
