Category: All categories

Month,Angina: (United States)
2004-01,63
2004-02,61
2004-03,63
2004-04,65
2004-05,57
2004-06,60
2004-07,62
2004-08,59
2004-09,78
2004-10,67
2004-11,67
2004-12,59
2005-01,60
2005-02,67
2005-03,67
2005-04,66
2005-05,61
2005-06,58
2005-07,58
2005-08,56
2005-09,56
2005-10,61
2005-11,61
2005-12,62
2006-01,57
2006-02,61
2006-03,67
2006-04,59
2006-05,62
2006-06,53
2006-07,55
2006-08,47
2006-09,50
2006-10,62
2006-11,59
2006-12,50
2007-01,52
2007-02,58
2007-03,58
2007-04,59
2007-05,51
2007-06,51
2007-07,51
2007-08,52
2007-09,54
2007-10,62
2007-11,53
2007-12,49
2008-01,56
2008-02,59
2008-03,58
2008-04,57
2008-05,54
2008-06,57
2008-07,56
2008-08,52
2008-09,68
2008-10,62
2008-11,59
2008-12,49
2009-01,51
2009-02,59
2009-03,65
2009-04,59
2009-05,55
2009-06,55
2009-07,52
2009-08,53
2009-09,56
2009-10,62
2009-11,61
2009-12,51
2010-01,55
2010-02,68
2010-03,66
2010-04,61
2010-05,56
2010-06,55
2010-07,59
2010-08,55
2010-09,57
2010-10,66
2010-11,60
2010-12,53
2011-01,56
2011-02,62
2011-03,60
2011-04,60
2011-05,53
2011-06,53
2011-07,53
2011-08,50
2011-09,53
2011-10,60
2011-11,52
2011-12,52
2012-01,52
2012-02,58
2012-03,59
2012-04,58
2012-05,54
2012-06,54
2012-07,50
2012-08,52
2012-09,58
2012-10,60
2012-11,56
2012-12,48
2013-01,51
2013-02,56
2013-03,57
2013-04,60
2013-05,48
2013-06,48
2013-07,48
2013-08,47
2013-09,55
2013-10,63
2013-11,57
2013-12,48
2014-01,51
2014-02,60
2014-03,60
2014-04,59
2014-05,53
2014-06,59
2014-07,50
2014-08,47
2014-09,57
2014-10,65
2014-11,52
2014-12,54
2015-01,53
2015-02,69
2015-03,75
2015-04,59
2015-05,49
2015-06,54
2015-07,52
2015-08,53
2015-09,57
2015-10,64
2015-11,56
2015-12,54
2016-01,55
2016-02,63
2016-03,64
2016-04,61
2016-05,57
2016-06,51
2016-07,51
2016-08,46
2016-09,59
2016-10,64
2016-11,58
2016-12,54
2017-01,60
2017-02,70
2017-03,66
2017-04,62
2017-05,59
2017-06,55
2017-07,56
2017-08,57
2017-09,64
2017-10,75
2017-11,67
2017-12,59
2018-01,64
2018-02,72
2018-03,72
2018-04,67
2018-05,65
2018-06,60
2018-07,62
2018-08,59
2018-09,64
2018-10,73
2018-11,66
2018-12,61
2019-01,66
2019-02,75
2019-03,69
2019-04,68
2019-05,66
2019-06,62
2019-07,63
2019-08,79
2019-09,67
2019-10,73
2019-11,63
2019-12,59
2020-01,63
2020-02,72
2020-03,62
2020-04,67
2020-05,61
2020-06,63
2020-07,65
2020-08,60
2020-09,66
2020-10,69
2020-11,57
2020-12,62
2021-01,62
2021-02,71
2021-03,69
2021-04,62
2021-05,59
2021-06,60
2021-07,58
2021-08,55
2021-09,59
2021-10,68
2021-11,61
2021-12,54
2022-01,68
2022-02,100
2022-03,80
2022-04,76
2022-05,63
2022-06,60
2022-07,63
2022-08,61
2022-09,69
2022-10,74
2022-11,66
2022-12,63
2023-01,69
2023-02,77
2023-03,76
2023-04,73
2023-05,70
2023-06,67
2023-07,62
2023-08,59
2023-09,64
2023-10,74
2023-11,64
2023-12,61
2024-01,68
2024-02,73
2024-03,68
2024-04,70
2024-05,62
2024-06,62
2024-07,60
2024-08,60
2024-09,67
2024-10,73
2024-11,67
