Category: All categories

Month,body mass index: (United States)
2004-01,91
2004-02,95
2004-03,95
2004-04,95
2004-05,86
2004-06,94
2004-07,87
2004-08,66
2004-09,77
2004-10,78
2004-11,66
2004-12,72
2005-01,87
2005-02,81
2005-03,92
2005-04,100
2005-05,72
2005-06,68
2005-07,68
2005-08,77
2005-09,61
2005-10,67
2005-11,59
2005-12,56
2006-01,80
2006-02,71
2006-03,62
2006-04,63
2006-05,58
2006-06,54
2006-07,61
2006-08,84
2006-09,76
2006-10,59
2006-11,61
2006-12,62
2007-01,80
2007-02,71
2007-03,62
2007-04,58
2007-05,61
2007-06,59
2007-07,58
2007-08,54
2007-09,44
2007-10,47
2007-11,60
2007-12,39
2008-01,59
2008-02,48
2008-03,45
2008-04,45
2008-05,41
2008-06,38
2008-07,41
2008-08,38
2008-09,36
2008-10,35
2008-11,31
2008-12,33
2009-01,40
2009-02,37
2009-03,34
2009-04,34
2009-05,30
2009-06,31
2009-07,33
2009-08,31
2009-09,30
2009-10,33
2009-11,30
2009-12,24
2010-01,34
2010-02,31
2010-03,32
2010-04,30
2010-05,25
2010-06,25
2010-07,26
2010-08,24
2010-09,24
2010-10,22
2010-11,21
2010-12,19
2011-01,29
2011-02,27
2011-03,27
2011-04,23
2011-05,21
2011-06,21
2011-07,23
2011-08,20
2011-09,21
2011-10,24
2011-11,20
2011-12,16
2012-01,19
2012-02,20
2012-03,20
2012-04,21
2012-05,21
2012-06,19
2012-07,18
2012-08,17
2012-09,18
2012-10,16
2012-11,16
2012-12,13
2013-01,20
2013-02,18
2013-03,19
2013-04,17
2013-05,15
2013-06,16
2013-07,16
2013-08,16
2013-09,16
2013-10,16
2013-11,15
2013-12,13
2014-01,14
2014-02,16
2014-03,15
2014-04,15
2014-05,13
2014-06,14
2014-07,14
2014-08,13
2014-09,15
2014-10,15
2014-11,13
2014-12,11
2015-01,14
2015-02,14
2015-03,15
2015-04,15
2015-05,13
2015-06,14
2015-07,13
2015-08,12
2015-09,15
2015-10,14
2015-11,12
2015-12,10
2016-01,11
2016-02,11
2016-03,12
2016-04,11
2016-05,10
2016-06,10
2016-07,9
2016-08,9
2016-09,11
2016-10,10
2016-11,9
2016-12,8
2017-01,10
2017-02,11
2017-03,11
2017-04,11
2017-05,10
2017-06,9
2017-07,10
2017-08,10
2017-09,11
2017-10,12
2017-11,11
2017-12,9
2018-01,12
2018-02,13
2018-03,12
2018-04,12
2018-05,11
2018-06,10
2018-07,10
2018-08,10
2018-09,11
2018-10,11
2018-11,10
2018-12,8
2019-01,10
2019-02,12
2019-03,11
2019-04,11
2019-05,9
2019-06,9
2019-07,9
2019-08,8
2019-09,10
2019-10,10
2019-11,9
2019-12,8
2020-01,9
2020-02,9
2020-03,8
2020-04,9
2020-05,9
2020-06,9
2020-07,9
2020-08,9
2020-09,10
2020-10,12
2020-11,8
2020-12,7
2021-01,10
2021-02,11
2021-03,13
2021-04,9
2021-05,7
2021-06,7
2021-07,7
2021-08,6
2021-09,7
2021-10,7
2021-11,7
2021-12,6
2022-01,8
2022-02,8
2022-03,9
2022-04,8
2022-05,8
2022-06,8
2022-07,7
2022-08,7
2022-09,8
2022-10,8
2022-11,7
2022-12,6
2023-01,8
2023-02,9
2023-03,9
2023-04,8
2023-05,7
2023-06,7
2023-07,6
2023-08,6
2023-09,7
2023-10,8
2023-11,7
2023-12,6
2024-01,7
2024-02,8
2024-03,7
2024-04,8
2024-05,6
2024-06,7
2024-07,6
2024-08,6
2024-09,7
2024-10,7
2024-11,7
