Category: All categories

Month,edema: (United States)
2004-01,37
2004-02,43
2004-03,45
2004-04,47
2004-05,48
2004-06,46
2004-07,51
2004-08,52
2004-09,48
2004-10,45
2004-11,42
2004-12,41
2005-01,42
2005-02,48
2005-03,47
2005-04,53
2005-05,49
2005-06,57
2005-07,57
2005-08,49
2005-09,49
2005-10,46
2005-11,42
2005-12,41
2006-01,49
2006-02,49
2006-03,50
2006-04,52
2006-05,51
2006-06,57
2006-07,53
2006-08,49
2006-09,46
2006-10,46
2006-11,43
2006-12,40
2007-01,43
2007-02,44
2007-03,45
2007-04,46
2007-05,52
2007-06,54
2007-07,51
2007-08,49
2007-09,50
2007-10,47
2007-11,49
2007-12,40
2008-01,47
2008-02,47
2008-03,49
2008-04,54
2008-05,51
2008-06,54
2008-07,51
2008-08,47
2008-09,46
2008-10,47
2008-11,48
2008-12,45
2009-01,43
2009-02,48
2009-03,48
2009-04,53
2009-05,45
2009-06,50
2009-07,53
2009-08,50
2009-09,52
2009-10,50
2009-11,52
2009-12,42
2010-01,45
2010-02,43
2010-03,49
2010-04,52
2010-05,52
2010-06,53
2010-07,47
2010-08,46
2010-09,47
2010-10,49
2010-11,42
2010-12,37
2011-01,41
2011-02,50
2011-03,52
2011-04,56
2011-05,54
2011-06,53
2011-07,54
2011-08,52
2011-09,51
2011-10,50
2011-11,47
2011-12,40
2012-01,43
2012-02,50
2012-03,53
2012-04,54
2012-05,54
2012-06,50
2012-07,51
2012-08,50
2012-09,53
2012-10,51
2012-11,48
2012-12,38
2013-01,45
2013-02,52
2013-03,49
2013-04,54
2013-05,52
2013-06,53
2013-07,52
2013-08,50
2013-09,51
2013-10,52
2013-11,50
2013-12,43
2014-01,43
2014-02,51
2014-03,55
2014-04,62
2014-05,58
2014-06,59
2014-07,58
2014-08,51
2014-09,57
2014-10,56
2014-11,48
2014-12,46
2015-01,47
2015-02,52
2015-03,57
2015-04,60
2015-05,59
2015-06,60
2015-07,59
2015-08,55
2015-09,62
2015-10,65
2015-11,57
2015-12,50
2016-01,48
2016-02,59
2016-03,60
2016-04,58
2016-05,61
2016-06,63
2016-07,60
2016-08,54
2016-09,66
2016-10,65
2016-11,52
2016-12,48
2017-01,52
2017-02,60
2017-03,63
2017-04,64
2017-05,64
2017-06,64
2017-07,65
2017-08,61
2017-09,62
2017-10,63
2017-11,60
2017-12,54
2018-01,57
2018-02,69
2018-03,62
2018-04,68
2018-05,69
2018-06,67
2018-07,69
2018-08,66
2018-09,69
2018-10,68
2018-11,60
2018-12,56
2019-01,59
2019-02,66
2019-03,69
2019-04,73
2019-05,69
2019-06,89
2019-07,70
2019-08,69
2019-09,67
2019-10,71
2019-11,63
2019-12,58
2020-01,62
2020-02,67
2020-03,56
2020-04,59
2020-05,60
2020-06,70
2020-07,67
2020-08,62
2020-09,64
2020-10,64
2020-11,56
2020-12,53
2021-01,55
2021-02,67
2021-03,70
2021-04,72
2021-05,66
2021-06,74
2021-07,68
2021-08,66
2021-09,70
2021-10,67
2021-11,62
2021-12,58
2022-01,62
2022-02,81
2022-03,82
2022-04,78
2022-05,73
2022-06,75
2022-07,74
2022-08,75
2022-09,77
2022-10,74
2022-11,67
2022-12,62
2023-01,68
2023-02,80
2023-03,77
2023-04,79
2023-05,80
2023-06,85
2023-07,79
2023-08,76
2023-09,79
2023-10,78
2023-11,70
2023-12,65
2024-01,71
2024-02,81
2024-03,83
2024-04,88
2024-05,88
2024-06,100
2024-07,87
2024-08,83
2024-09,82
2024-10,82
2024-11,76
