Category: All categories

Month,embolism: (United States)
2004-01,32
2004-02,27
2004-03,30
2004-04,31
2004-05,29
2004-06,31
2004-07,30
2004-08,30
2004-09,27
2004-10,29
2004-11,33
2004-12,30
2005-01,29
2005-02,33
2005-03,35
2005-04,35
2005-05,32
2005-06,29
2005-07,32
2005-08,33
2005-09,28
2005-10,34
2005-11,28
2005-12,29
2006-01,30
2006-02,30
2006-03,35
2006-04,33
2006-05,28
2006-06,27
2006-07,28
2006-08,35
2006-09,30
2006-10,31
2006-11,31
2006-12,26
2007-01,31
2007-02,30
2007-03,33
2007-04,30
2007-05,29
2007-06,30
2007-07,33
2007-08,31
2007-09,35
2007-10,41
2007-11,36
2007-12,30
2008-01,33
2008-02,34
2008-03,34
2008-04,34
2008-05,31
2008-06,41
2008-07,35
2008-08,32
2008-09,38
2008-10,38
2008-11,36
2008-12,31
2009-01,35
2009-02,36
2009-03,37
2009-04,37
2009-05,33
2009-06,40
2009-07,36
2009-08,36
2009-09,42
2009-10,44
2009-11,45
2009-12,44
2010-01,40
2010-02,45
2010-03,42
2010-04,39
2010-05,66
2010-06,40
2010-07,39
2010-08,39
2010-09,46
2010-10,44
2010-11,41
2010-12,36
2011-01,42
2011-02,44
2011-03,86
2011-04,46
2011-05,43
2011-06,43
2011-07,41
2011-08,43
2011-09,44
2011-10,47
2011-11,45
2011-12,51
2012-01,49
2012-02,56
2012-03,52
2012-04,52
2012-05,51
2012-06,46
2012-07,53
2012-08,59
2012-09,54
2012-10,54
2012-11,49
2012-12,42
2013-01,53
2013-02,54
2013-03,52
2013-04,55
2013-05,45
2013-06,45
2013-07,48
2013-08,48
2013-09,49
2013-10,52
2013-11,49
2013-12,50
2014-01,58
2014-02,55
2014-03,52
2014-04,61
2014-05,49
2014-06,52
2014-07,48
2014-08,49
2014-09,49
2014-10,51
2014-11,59
2014-12,47
2015-01,46
2015-02,56
2015-03,58
2015-04,55
2015-05,53
2015-06,46
2015-07,45
2015-08,45
2015-09,51
2015-10,59
2015-11,56
2015-12,47
2016-01,53
2016-02,52
2016-03,53
2016-04,53
2016-05,50
2016-06,47
2016-07,40
2016-08,46
2016-09,46
2016-10,49
2016-11,45
2016-12,41
2017-01,46
2017-02,54
2017-03,52
2017-04,51
2017-05,52
2017-06,50
2017-07,47
2017-08,47
2017-09,50
2017-10,54
2017-11,57
2017-12,47
2018-01,55
2018-02,72
2018-03,61
2018-04,69
2018-05,58
2018-06,49
2018-07,55
2018-08,51
2018-09,53
2018-10,56
2018-11,55
2018-12,53
2019-01,54
2019-02,72
2019-03,65
2019-04,57
2019-05,58
2019-06,60
2019-07,58
2019-08,54
2019-09,72
2019-10,65
2019-11,56
2019-12,51
2020-01,62
2020-02,62
2020-03,52
2020-04,57
2020-05,51
2020-06,50
2020-07,56
2020-08,55
2020-09,57
2020-10,59
2020-11,60
2020-12,58
2021-01,94
2021-02,65
2021-03,58
2021-04,63
2021-05,55
2021-06,65
2021-07,57
2021-08,64
2021-09,62
2021-10,62
2021-11,66
2021-12,56
2022-01,71
2022-02,80
2022-03,66
2022-04,64
2022-05,56
2022-06,57
2022-07,65
2022-08,57
2022-09,58
2022-10,65
2022-11,59
2022-12,59
2023-01,64
2023-02,64
2023-03,63
2023-04,61
2023-05,59
2023-06,59
2023-07,60
2023-08,52
2023-09,62
2023-10,62
2023-11,64
2023-12,56
2024-01,64
2024-02,67
2024-03,66
2024-04,64
2024-05,60
2024-06,59
2024-07,58
2024-08,100
2024-09,66
2024-10,64
2024-11,59
