Category: All categories

Month,hypertension: (United States)
2004-01,82
2004-02,95
2004-03,93
2004-04,94
2004-05,85
2004-06,78
2004-07,83
2004-08,79
2004-09,85
2004-10,90
2004-11,87
2004-12,80
2005-01,83
2005-02,90
2005-03,85
2005-04,91
2005-05,81
2005-06,81
2005-07,74
2005-08,74
2005-09,75
2005-10,80
2005-11,83
2005-12,67
2006-01,78
2006-02,83
2006-03,89
2006-04,81
2006-05,74
2006-06,70
2006-07,64
2006-08,68
2006-09,67
2006-10,77
2006-11,74
2006-12,64
2007-01,67
2007-02,73
2007-03,68
2007-04,69
2007-05,73
2007-06,62
2007-07,65
2007-08,59
2007-09,64
2007-10,75
2007-11,68
2007-12,60
2008-01,66
2008-02,72
2008-03,72
2008-04,79
2008-05,62
2008-06,57
2008-07,63
2008-08,58
2008-09,64
2008-10,75
2008-11,70
2008-12,56
2009-01,56
2009-02,75
2009-03,77
2009-04,79
2009-05,60
2009-06,59
2009-07,58
2009-08,56
2009-09,63
2009-10,76
2009-11,76
2009-12,62
2010-01,67
2010-02,76
2010-03,80
2010-04,77
2010-05,66
2010-06,57
2010-07,58
2010-08,52
2010-09,67
2010-10,69
2010-11,69
2010-12,59
2011-01,64
2011-02,75
2011-03,77
2011-04,73
2011-05,64
2011-06,63
2011-07,58
2011-08,54
2011-09,65
2011-10,71
2011-11,69
2011-12,57
2012-01,62
2012-02,75
2012-03,69
2012-04,72
2012-05,60
2012-06,57
2012-07,56
2012-08,57
2012-09,66
2012-10,71
2012-11,66
2012-12,53
2013-01,58
2013-02,69
2013-03,69
2013-04,68
2013-05,62
2013-06,52
2013-07,56
2013-08,55
2013-09,64
2013-10,71
2013-11,67
2013-12,56
2014-01,59
2014-02,68
2014-03,69
2014-04,70
2014-05,62
2014-06,60
2014-07,60
2014-08,56
2014-09,70
2014-10,77
2014-11,70
2014-12,57
2015-01,62
2015-02,71
2015-03,78
2015-04,74
2015-05,64
2015-06,58
2015-07,62
2015-08,60
2015-09,73
2015-10,79
2015-11,76
2015-12,64
2016-01,60
2016-02,71
2016-03,71
2016-04,70
2016-05,62
2016-06,59
2016-07,54
2016-08,55
2016-09,64
2016-10,69
2016-11,64
2016-12,57
2017-01,61
2017-02,72
2017-03,76
2017-04,76
2017-05,68
2017-06,61
2017-07,61
2017-08,63
2017-09,64
2017-10,78
2017-11,88
2017-12,67
2018-01,72
2018-02,89
2018-03,81
2018-04,85
2018-05,74
2018-06,70
2018-07,71
2018-08,69
2018-09,75
2018-10,87
2018-11,80
2018-12,69
2019-01,76
2019-02,86
2019-03,85
2019-04,89
2019-05,75
2019-06,70
2019-07,70
2019-08,68
2019-09,76
2019-10,88
2019-11,78
2019-12,66
2020-01,77
2020-02,84
2020-03,86
2020-04,89
2020-05,70
2020-06,71
2020-07,73
2020-08,67
2020-09,81
2020-10,81
2020-11,70
2020-12,67
2021-01,71
2021-02,85
2021-03,87
2021-04,82
2021-05,71
2021-06,69
2021-07,65
2021-08,67
2021-09,77
2021-10,81
2021-11,77
2021-12,68
2022-01,82
2022-02,97
2022-03,100
2022-04,94
2022-05,81
2022-06,77
2022-07,85
2022-08,76
2022-09,86
2022-10,84
2022-11,85
2022-12,77
2023-01,85
2023-02,96
2023-03,98
2023-04,89
2023-05,83
2023-06,80
2023-07,77
2023-08,76
2023-09,86
2023-10,92
2023-11,87
2023-12,74
2024-01,85
2024-02,98
2024-03,95
2024-04,90
2024-05,82
2024-06,84
2024-07,79
2024-08,79
2024-09,89
2024-10,94
2024-11,89
