Category: All categories

Month,hypotension: (United States)
2004-01,50
2004-02,53
2004-03,51
2004-04,51
2004-05,49
2004-06,48
2004-07,57
2004-08,50
2004-09,62
2004-10,50
2004-11,46
2004-12,38
2005-01,45
2005-02,51
2005-03,53
2005-04,58
2005-05,45
2005-06,47
2005-07,58
2005-08,54
2005-09,51
2005-10,52
2005-11,50
2005-12,43
2006-01,44
2006-02,49
2006-03,47
2006-04,50
2006-05,45
2006-06,53
2006-07,50
2006-08,50
2006-09,51
2006-10,46
2006-11,46
2006-12,35
2007-01,44
2007-02,43
2007-03,47
2007-04,48
2007-05,42
2007-06,45
2007-07,47
2007-08,46
2007-09,52
2007-10,49
2007-11,43
2007-12,35
2008-01,43
2008-02,48
2008-03,47
2008-04,49
2008-05,46
2008-06,47
2008-07,51
2008-08,46
2008-09,51
2008-10,51
2008-11,46
2008-12,37
2009-01,38
2009-02,52
2009-03,53
2009-04,51
2009-05,41
2009-06,46
2009-07,51
2009-08,55
2009-09,55
2009-10,55
2009-11,50
2009-12,41
2010-01,46
2010-02,54
2010-03,52
2010-04,50
2010-05,49
2010-06,50
2010-07,49
2010-08,46
2010-09,55
2010-10,49
2010-11,47
2010-12,38
2011-01,48
2011-02,56
2011-03,56
2011-04,56
2011-05,51
2011-06,53
2011-07,55
2011-08,49
2011-09,59
2011-10,56
2011-11,53
2011-12,43
2012-01,47
2012-02,58
2012-03,57
2012-04,59
2012-05,50
2012-06,50
2012-07,46
2012-08,53
2012-09,58
2012-10,54
2012-11,52
2012-12,46
2013-01,49
2013-02,62
2013-03,54
2013-04,54
2013-05,51
2013-06,51
2013-07,53
2013-08,50
2013-09,56
2013-10,55
2013-11,51
2013-12,43
2014-01,50
2014-02,58
2014-03,53
2014-04,55
2014-05,55
2014-06,54
2014-07,56
2014-08,52
2014-09,58
2014-10,61
2014-11,49
2014-12,48
2015-01,67
2015-02,57
2015-03,57
2015-04,59
2015-05,50
2015-06,55
2015-07,59
2015-08,58
2015-09,62
2015-10,64
2015-11,56
2015-12,54
2016-01,44
2016-02,52
2016-03,48
2016-04,48
2016-05,46
2016-06,48
2016-07,49
2016-08,45
2016-09,55
2016-10,52
2016-11,49
2016-12,48
2017-01,47
2017-02,58
2017-03,54
2017-04,49
2017-05,52
2017-06,58
2017-07,49
2017-08,57
2017-09,58
2017-10,62
2017-11,55
2017-12,44
2018-01,54
2018-02,67
2018-03,60
2018-04,65
2018-05,58
2018-06,60
2018-07,58
2018-08,66
2018-09,71
2018-10,66
2018-11,59
2018-12,50
2019-01,58
2019-02,67
2019-03,64
2019-04,66
2019-05,57
2019-06,60
2019-07,65
2019-08,60
2019-09,77
2019-10,73
2019-11,59
2019-12,52
2020-01,63
2020-02,73
2020-03,59
2020-04,64
2020-05,62
2020-06,65
2020-07,68
2020-08,65
2020-09,77
2020-10,72
2020-11,56
2020-12,56
2021-01,55
2021-02,67
2021-03,71
2021-04,66
2021-05,57
2021-06,63
2021-07,60
2021-08,63
2021-09,72
2021-10,72
2021-11,63
2021-12,52
2022-01,73
2022-02,91
2022-03,89
2022-04,84
2022-05,76
2022-06,77
2022-07,77
2022-08,83
2022-09,86
2022-10,81
2022-11,78
2022-12,69
2023-01,80
2023-02,90
2023-03,90
2023-04,87
2023-05,86
2023-06,88
2023-07,81
2023-08,85
2023-09,93
2023-10,95
2023-11,86
2023-12,73
2024-01,83
2024-02,97
2024-03,89
2024-04,91
2024-05,87
2024-06,90
2024-07,91
2024-08,90
2024-09,100
2024-10,96
2024-11,91
