Category: All categories

Month,malignant: (United States)
2004-01,6
2004-02,6
2004-03,7
2004-04,7
2004-05,7
2004-06,6
2004-07,7
2004-08,7
2004-09,7
2004-10,7
2004-11,7
2004-12,7
2005-01,7
2005-02,7
2005-03,7
2005-04,7
2005-05,7
2005-06,7
2005-07,7
2005-08,7
2005-09,7
2005-10,7
2005-11,7
2005-12,6
2006-01,6
2006-02,7
2006-03,7
2006-04,7
2006-05,7
2006-06,7
2006-07,6
2006-08,6
2006-09,7
2006-10,7
2006-11,7
2006-12,5
2007-01,7
2007-02,6
2007-03,6
2007-04,7
2007-05,7
2007-06,6
2007-07,6
2007-08,6
2007-09,7
2007-10,7
2007-11,7
2007-12,5
2008-01,6
2008-02,7
2008-03,9
2008-04,8
2008-05,19
2008-06,8
2008-07,7
2008-08,7
2008-09,7
2008-10,8
2008-11,7
2008-12,6
2009-01,6
2009-02,7
2009-03,7
2009-04,7
2009-05,7
2009-06,6
2009-07,7
2009-08,7
2009-09,7
2009-10,7
2009-11,7
2009-12,7
2010-01,7
2010-02,7
2010-03,7
2010-04,8
2010-05,7
2010-06,7
2010-07,6
2010-08,6
2010-09,7
2010-10,7
2010-11,7
2010-12,6
2011-01,6
2011-02,7
2011-03,7
2011-04,7
2011-05,8
2011-06,7
2011-07,7
2011-08,6
2011-09,7
2011-10,7
2011-11,7
2011-12,7
2012-01,10
2012-02,8
2012-03,7
2012-04,7
2012-05,7
2012-06,6
2012-07,6
2012-08,6
2012-09,8
2012-10,8
2012-11,7
2012-12,6
2013-01,7
2013-02,8
2013-03,8
2013-04,8
2013-05,7
2013-06,6
2013-07,6
2013-08,6
2013-09,8
2013-10,9
2013-11,8
2013-12,7
2014-01,7
2014-02,8
2014-03,9
2014-04,8
2014-05,8
2014-06,7
2014-07,7
2014-08,6
2014-09,9
2014-10,9
2014-11,8
2014-12,7
2015-01,8
2015-02,9
2015-03,9
2015-04,9
2015-05,7
2015-06,7
2015-07,7
2015-08,7
2015-09,9
2015-10,10
2015-11,9
2015-12,8
2016-01,8
2016-02,9
2016-03,9
2016-04,9
2016-05,8
2016-06,8
2016-07,7
2016-08,7
2016-09,9
2016-10,9
2016-11,8
2016-12,7
2017-01,10
2017-02,11
2017-03,10
2017-04,9
2017-05,9
2017-06,8
2017-07,8
2017-08,8
2017-09,8
2017-10,10
2017-11,10
2017-12,8
2018-01,9
2018-02,10
2018-03,10
2018-04,9
2018-05,9
2018-06,8
2018-07,8
2018-08,8
2018-09,9
2018-10,11
2018-11,10
2018-12,9
2019-01,9
2019-02,10
2019-03,10
2019-04,10
2019-05,9
2019-06,9
2019-07,8
2019-08,8
2019-09,9
2019-10,10
2019-11,9
2019-12,8
2020-01,9
2020-02,10
2020-03,8
2020-04,8
2020-05,7
2020-06,8
2020-07,8
2020-08,8
2020-09,10
2020-10,10
2020-11,9
2020-12,8
2021-01,8
2021-02,9
2021-03,9
2021-04,9
2021-05,9
2021-06,9
2021-07,9
2021-08,13
2021-09,100
2021-10,27
2021-11,12
2021-12,12
2022-01,13
2022-02,15
2022-03,14
2022-04,13
2022-05,12
2022-06,11
2022-07,10
2022-08,10
2022-09,12
2022-10,14
2022-11,12
2022-12,11
2023-01,12
2023-02,12
2023-03,12
2023-04,12
2023-05,11
2023-06,11
2023-07,15
2023-08,13
2023-09,13
2023-10,14
2023-11,13
2023-12,10
2024-01,15
2024-02,14
2024-03,12
2024-04,13
2024-05,12
2024-06,11
2024-07,10
2024-08,12
2024-09,12
2024-10,15
2024-11,12
