Category: All categories

Month,outpatient: (United States)
2004-01,26
2004-02,26
2004-03,30
2004-04,25
2004-05,26
2004-06,35
2004-07,31
2004-08,32
2004-09,31
2004-10,40
2004-11,34
2004-12,29
2005-01,32
2005-02,36
2005-03,35
2005-04,29
2005-05,31
2005-06,33
2005-07,33
2005-08,32
2005-09,30
2005-10,29
2005-11,31
2005-12,28
2006-01,33
2006-02,33
2006-03,29
2006-04,32
2006-05,33
2006-06,32
2006-07,32
2006-08,36
2006-09,32
2006-10,34
2006-11,32
2006-12,31
2007-01,33
2007-02,33
2007-03,35
2007-04,34
2007-05,37
2007-06,35
2007-07,38
2007-08,37
2007-09,34
2007-10,39
2007-11,37
2007-12,30
2008-01,35
2008-02,38
2008-03,39
2008-04,39
2008-05,37
2008-06,38
2008-07,38
2008-08,38
2008-09,38
2008-10,39
2008-11,36
2008-12,35
2009-01,39
2009-02,40
2009-03,40
2009-04,40
2009-05,36
2009-06,40
2009-07,45
2009-08,39
2009-09,42
2009-10,40
2009-11,40
2009-12,36
2010-01,40
2010-02,41
2010-03,43
2010-04,41
2010-05,47
2010-06,44
2010-07,42
2010-08,45
2010-09,38
2010-10,37
2010-11,35
2010-12,35
2011-01,43
2011-02,42
2011-03,45
2011-04,41
2011-05,41
2011-06,46
2011-07,45
2011-08,43
2011-09,42
2011-10,43
2011-11,42
2011-12,38
2012-01,44
2012-02,46
2012-03,44
2012-04,46
2012-05,47
2012-06,46
2012-07,47
2012-08,49
2012-09,51
2012-10,49
2012-11,46
2012-12,39
2013-01,49
2013-02,50
2013-03,48
2013-04,53
2013-05,50
2013-06,51
2013-07,55
2013-08,52
2013-09,52
2013-10,57
2013-11,49
2013-12,47
2014-01,54
2014-02,54
2014-03,55
2014-04,57
2014-05,56
2014-06,59
2014-07,61
2014-08,59
2014-09,58
2014-10,57
2014-11,54
2014-12,53
2015-01,57
2015-02,59
2015-03,62
2015-04,62
2015-05,59
2015-06,65
2015-07,67
2015-08,65
2015-09,67
2015-10,64
2015-11,60
2015-12,57
2016-01,63
2016-02,70
2016-03,68
2016-04,68
2016-05,68
2016-06,71
2016-07,65
2016-08,70
2016-09,65
2016-10,70
2016-11,65
2016-12,62
2017-01,69
2017-02,70
2017-03,76
2017-04,72
2017-05,73
2017-06,74
2017-07,74
2017-08,74
2017-09,72
2017-10,79
2017-11,73
2017-12,63
2018-01,78
2018-02,78
2018-03,79
2018-04,75
2018-05,74
2018-06,82
2018-07,80
2018-08,82
2018-09,74
2018-10,83
2018-11,75
2018-12,71
2019-01,80
2019-02,83
2019-03,78
2019-04,80
2019-05,81
2019-06,79
2019-07,80
2019-08,80
2019-09,78
2019-10,85
2019-11,78
2019-12,72
2020-01,80
2020-02,83
2020-03,74
2020-04,52
2020-05,62
2020-06,73
2020-07,78
2020-08,75
2020-09,76
2020-10,79
2020-11,73
2020-12,72
2021-01,77
2021-02,86
2021-03,80
2021-04,86
2021-05,81
2021-06,87
2021-07,86
2021-08,89
2021-09,88
2021-10,87
2021-11,87
2021-12,85
2022-01,94
2022-02,95
2022-03,96
2022-04,91
2022-05,87
2022-06,88
2022-07,86
2022-08,92
2022-09,87
2022-10,85
2022-11,84
2022-12,81
2023-01,88
2023-02,94
2023-03,91
2023-04,84
2023-05,88
2023-06,92
2023-07,87
2023-08,90
2023-09,92
2023-10,92
2023-11,90
2023-12,76
2024-01,92
2024-02,99
2024-03,93
2024-04,98
2024-05,89
2024-06,88
2024-07,93
2024-08,94
2024-09,95
2024-10,100
2024-11,92
