Category: All categories

Month,surgery: (United States)
2004-01,59
2004-02,58
2004-03,62
2004-04,64
2004-05,63
2004-06,61
2004-07,64
2004-08,63
2004-09,62
2004-10,62
2004-11,61
2004-12,59
2005-01,63
2005-02,62
2005-03,61
2005-04,64
2005-05,63
2005-06,62
2005-07,60
2005-08,58
2005-09,53
2005-10,55
2005-11,54
2005-12,51
2006-01,60
2006-02,56
2006-03,61
2006-04,58
2006-05,61
2006-06,59
2006-07,57
2006-08,54
2006-09,53
2006-10,58
2006-11,57
2006-12,50
2007-01,58
2007-02,55
2007-03,57
2007-04,57
2007-05,57
2007-06,55
2007-07,56
2007-08,58
2007-09,60
2007-10,57
2007-11,54
2007-12,47
2008-01,57
2008-02,56
2008-03,59
2008-04,58
2008-05,57
2008-06,55
2008-07,54
2008-08,55
2008-09,55
2008-10,54
2008-11,54
2008-12,51
2009-01,58
2009-02,60
2009-03,61
2009-04,62
2009-05,61
2009-06,64
2009-07,65
2009-08,60
2009-09,61
2009-10,60
2009-11,62
2009-12,59
2010-01,75
2010-02,68
2010-03,71
2010-04,72
2010-05,70
2010-06,65
2010-07,61
2010-08,59
2010-09,59
2010-10,55
2010-11,59
2010-12,56
2011-01,66
2011-02,68
2011-03,64
2011-04,66
2011-05,65
2011-06,66
2011-07,68
2011-08,77
2011-09,69
2011-10,61
2011-11,61
2011-12,61
2012-01,68
2012-02,69
2012-03,68
2012-04,68
2012-05,69
2012-06,68
2012-07,67
2012-08,68
2012-09,62
2012-10,64
2012-11,61
2012-12,57
2013-01,68
2013-02,67
2013-03,62
2013-04,68
2013-05,67
2013-06,71
2013-07,68
2013-08,73
2013-09,67
2013-10,66
2013-11,65
2013-12,63
2014-01,69
2014-02,67
2014-03,68
2014-04,71
2014-05,71
2014-06,71
2014-07,74
2014-08,71
2014-09,64
2014-10,65
2014-11,64
2014-12,60
2015-01,65
2015-02,67
2015-03,69
2015-04,70
2015-05,68
2015-06,76
2015-07,72
2015-08,71
2015-09,68
2015-10,70
2015-11,65
2015-12,65
2016-01,72
2016-02,79
2016-03,75
2016-04,75
2016-05,74
2016-06,74
2016-07,71
2016-08,71
2016-09,71
2016-10,78
2016-11,69
2016-12,67
2017-01,72
2017-02,82
2017-03,77
2017-04,77
2017-05,76
2017-06,77
2017-07,81
2017-08,76
2017-09,69
2017-10,76
2017-11,74
2017-12,70
2018-01,77
2018-02,82
2018-03,79
2018-04,78
2018-05,78
2018-06,82
2018-07,78
2018-08,82
2018-09,73
2018-10,77
2018-11,83
2018-12,77
2019-01,86
2019-02,86
2019-03,86
2019-04,86
2019-05,80
2019-06,83
2019-07,84
2019-08,81
2019-09,78
2019-10,84
2019-11,82
2019-12,80
2020-01,85
2020-02,85
2020-03,66
2020-04,56
2020-05,70
2020-06,78
2020-07,85
2020-08,80
2020-09,81
2020-10,85
2020-11,81
2020-12,81
2021-01,93
2021-02,99
2021-03,89
2021-04,100
2021-05,92
2021-06,97
2021-07,94
2021-08,89
2021-09,87
2021-10,88
2021-11,88
2021-12,85
2022-01,96
2022-02,97
2022-03,96
2022-04,94
2022-05,93
2022-06,95
2022-07,93
2022-08,94
2022-09,88
2022-10,92
2022-11,80
2022-12,86
2023-01,93
2023-02,95
2023-03,98
2023-04,96
2023-05,98
2023-06,97
2023-07,93
2023-08,91
2023-09,91
2023-10,88
2023-11,88
2023-12,88
2024-01,95
2024-02,94
2024-03,93
2024-04,92
2024-05,84
2024-06,96
2024-07,90
2024-08,89
2024-09,87
2024-10,89
2024-11,96
