Category: All categories

Month,Sutures: (United States)
2004-01,70
2004-02,70
2004-03,63
2004-04,83
2004-05,65
2004-06,87
2004-07,73
2004-08,80
2004-09,75
2004-10,77
2004-11,73
2004-12,59
2005-01,70
2005-02,65
2005-03,62
2005-04,66
2005-05,70
2005-06,76
2005-07,81
2005-08,70
2005-09,74
2005-10,66
2005-11,65
2005-12,60
2006-01,74
2006-02,67
2006-03,65
2006-04,69
2006-05,67
2006-06,69
2006-07,63
2006-08,66
2006-09,64
2006-10,64
2006-11,63
2006-12,58
2007-01,63
2007-02,59
2007-03,60
2007-04,63
2007-05,59
2007-06,61
2007-07,66
2007-08,62
2007-09,63
2007-10,63
2007-11,62
2007-12,56
2008-01,56
2008-02,55
2008-03,57
2008-04,60
2008-05,60
2008-06,60
2008-07,57
2008-08,55
2008-09,64
2008-10,63
2008-11,59
2008-12,54
2009-01,57
2009-02,56
2009-03,61
2009-04,57
2009-05,56
2009-06,59
2009-07,60
2009-08,56
2009-09,54
2009-10,59
2009-11,55
2009-12,50
2010-01,53
2010-02,54
2010-03,62
2010-04,55
2010-05,53
2010-06,55
2010-07,57
2010-08,61
2010-09,55
2010-10,59
2010-11,53
2010-12,43
2011-01,50
2011-02,55
2011-03,56
2011-04,50
2011-05,50
2011-06,56
2011-07,56
2011-08,51
2011-09,57
2011-10,62
2011-11,52
2011-12,43
2012-01,48
2012-02,55
2012-03,51
2012-04,50
2012-05,47
2012-06,49
2012-07,48
2012-08,50
2012-09,57
2012-10,58
2012-11,50
2012-12,46
2013-01,48
2013-02,56
2013-03,52
2013-04,53
2013-05,50
2013-06,48
2013-07,51
2013-08,52
2013-09,56
2013-10,69
2013-11,54
2013-12,53
2014-01,49
2014-02,58
2014-03,53
2014-04,52
2014-05,53
2014-06,54
2014-07,57
2014-08,52
2014-09,64
2014-10,68
2014-11,55
2014-12,51
2015-01,51
2015-02,53
2015-03,57
2015-04,54
2015-05,53
2015-06,56
2015-07,60
2015-08,63
2015-09,73
2015-10,75
2015-11,60
2015-12,53
2016-01,53
2016-02,61
2016-03,62
2016-04,58
2016-05,55
2016-06,57
2016-07,58
2016-08,58
2016-09,73
2016-10,71
2016-11,64
2016-12,52
2017-01,57
2017-02,67
2017-03,67
2017-04,58
2017-05,59
2017-06,63
2017-07,58
2017-08,62
2017-09,71
2017-10,74
2017-11,77
2017-12,57
2018-01,61
2018-02,68
2018-03,63
2018-04,62
2018-05,62
2018-06,63
2018-07,63
2018-08,63
2018-09,75
2018-10,77
2018-11,64
2018-12,58
2019-01,61
2019-02,62
2019-03,64
2019-04,60
2019-05,62
2019-06,64
2019-07,62
2019-08,63
2019-09,72
2019-10,75
2019-11,64
2019-12,60
2020-01,65
2020-02,69
2020-03,58
2020-04,50
2020-05,51
2020-06,58
2020-07,61
2020-08,59
2020-09,70
2020-10,76
2020-11,60
2020-12,56
2021-01,58
2021-02,62
2021-03,64
2021-04,66
2021-05,63
2021-06,67
2021-07,63
2021-08,60
2021-09,70
2021-10,76
2021-11,69
2021-12,61
2022-01,68
2022-02,78
2022-03,74
2022-04,75
2022-05,70
2022-06,70
2022-07,67
2022-08,67
2022-09,78
2022-10,83
2022-11,77
2022-12,64
2023-01,68
2023-02,79
2023-03,77
2023-04,73
2023-05,73
2023-06,81
2023-07,76
2023-08,80
2023-09,83
2023-10,90
2023-11,81
2023-12,75
2024-01,70
2024-02,83
2024-03,75
2024-04,78
2024-05,76
2024-06,79
2024-07,77
2024-08,79
2024-09,90
2024-10,100
2024-11,91
